200001_tmmn,200002_tmmn,200003_tmmn,200004_tmmn,200005_tmmn,200006_tmmn,200007_tmmn,200008_tmmn,200009_tmmn,200010_tmmn,200011_tmmn,200012_tmmn,200101_tmmn,200102_tmmn,200103_tmmn,200104_tmmn,200105_tmmn,200106_tmmn,200107_tmmn,200108_tmmn,200109_tmmn,200110_tmmn,200111_tmmn,200112_tmmn,200201_tmmn,200202_tmmn,200203_tmmn,200204_tmmn,200205_tmmn,200206_tmmn,200207_tmmn,200208_tmmn,200209_tmmn,200210_tmmn,200211_tmmn,200212_tmmn,200301_tmmn,200302_tmmn,200303_tmmn,200304_tmmn,200305_tmmn,200306_tmmn,200307_tmmn,200308_tmmn,200309_tmmn,200310_tmmn,200311_tmmn,200312_tmmn,200401_tmmn,200402_tmmn,200403_tmmn,200404_tmmn,200405_tmmn,200406_tmmn,200407_tmmn,200408_tmmn,200409_tmmn,200410_tmmn,200411_tmmn,200412_tmmn,200501_tmmn,200502_tmmn,200503_tmmn,200504_tmmn,200505_tmmn,200506_tmmn,200507_tmmn,200508_tmmn,200509_tmmn,200510_tmmn,200511_tmmn,200512_tmmn,200601_tmmn,200602_tmmn,200603_tmmn,200604_tmmn,200605_tmmn,200606_tmmn,200607_tmmn,200608_tmmn,200609_tmmn,200610_tmmn,200611_tmmn,200612_tmmn,200701_tmmn,200702_tmmn,200703_tmmn,200704_tmmn,200705_tmmn,200706_tmmn,200707_tmmn,200708_tmmn,200709_tmmn,200710_tmmn,200711_tmmn,200712_tmmn,200801_tmmn,200802_tmmn,200803_tmmn,200804_tmmn,200805_tmmn,200806_tmmn,200807_tmmn,200808_tmmn,200809_tmmn,200810_tmmn,200811_tmmn,200812_tmmn,200901_tmmn,200902_tmmn,200903_tmmn,200904_tmmn,200905_tmmn,200906_tmmn,200907_tmmn,200908_tmmn,200909_tmmn,200910_tmmn,200911_tmmn,200912_tmmn,201001_tmmn,201002_tmmn,201003_tmmn,201004_tmmn,201005_tmmn,201006_tmmn,201007_tmmn,201008_tmmn,201009_tmmn,201010_tmmn,201011_tmmn,201012_tmmn,201101_tmmn,201102_tmmn,201103_tmmn,201104_tmmn,201105_tmmn,201106_tmmn,201107_tmmn,201108_tmmn,201109_tmmn,201110_tmmn,201111_tmmn,201112_tmmn,201201_tmmn,201202_tmmn,201203_tmmn,201204_tmmn,201205_tmmn,201206_tmmn,201207_tmmn,201208_tmmn,201209_tmmn,201210_tmmn,201211_tmmn,201212_tmmn,201301_tmmn,201302_tmmn,201303_tmmn,201304_tmmn,201305_tmmn,201306_tmmn,201307_tmmn,201308_tmmn,201309_tmmn,201310_tmmn,201311_tmmn,201312_tmmn,201401_tmmn,201402_tmmn,201403_tmmn,201404_tmmn,201405_tmmn,201406_tmmn,201407_tmmn,201408_tmmn,201409_tmmn,201410_tmmn,201411_tmmn,201412_tmmn,201501_tmmn,201502_tmmn,201503_tmmn,201504_tmmn,201505_tmmn,201506_tmmn,201507_tmmn,201508_tmmn,201509_tmmn,201510_tmmn,201511_tmmn,201512_tmmn,201601_tmmn,201602_tmmn,201603_tmmn,201604_tmmn,201605_tmmn,201606_tmmn,201607_tmmn,201608_tmmn,201609_tmmn,201610_tmmn,201611_tmmn,201612_tmmn,201701_tmmn,201702_tmmn,201703_tmmn,201704_tmmn,201705_tmmn,201706_tmmn,201707_tmmn,201708_tmmn,201709_tmmn,201710_tmmn,201711_tmmn,201712_tmmn,201801_tmmn,201802_tmmn,201803_tmmn,201804_tmmn,201805_tmmn,201806_tmmn,201807_tmmn,201808_tmmn,201809_tmmn,201810_tmmn,201811_tmmn,201812_tmmn,201901_tmmn,201902_tmmn,201903_tmmn,201904_tmmn,201905_tmmn,201906_tmmn,201907_tmmn,201908_tmmn,201909_tmmn,201910_tmmn,201911_tmmn,201912_tmmn,202001_tmmn,202002_tmmn,202003_tmmn,202004_tmmn,202005_tmmn,202006_tmmn,202007_tmmn,202008_tmmn,202009_tmmn,202010_tmmn,202011_tmmn,202012_tmmn,COMUNA
1249204.2156862752,949356.858823531,740281.6980392152,453993.69803921535,18423.29803921569,-589908.8000000004,-700183.2,-427523.5764705885,-560258.1647058828,165548.94509803937,549722.796078432,837593.8509803935,1183659.4431372553,1006760.635294118,474949.6078431367,437748.5921568624,-89645.62745098045,-340905.3411764702,-1070979.125490195,-685051.4039215686,-48735.18431372541,365249.6980392161,414967.9607843144,1077502.4666666663,1109751.0000000007,1158735.392156865,450933.8588235292,300262.4862745104,-774356.4470588258,-943458.1176470598,-664454.0627450978,-431860.5921568629,177487.76078431378,51424.07450980384,458592.5058823528,1141967.3333333335,1109654.066666667,1089583.5647058804,867816.8313725484,363868.2980392161,295155.0313725495,-503237.9764705882,20188.549019607803,-281861.7411764713,-83239.50980392162,91173.07450980402,380877.0156862744,942150.956862745,1516817.4549019628,1524671.23137255,893264.1882352951,395113.00392156857,53244.40392156856,122588.82745098045,-657843.8745098044,-240784.878431373,-8730.745098039288,140953.20392156875,774163.0078431366,1147149.6352941173,1191885.113725491,1329402.4156862756,741917.1098039212,442731.17254901904,-427578.4862745102,-908947.9176470606,-470018.7647058819,-433976.1254901959,202592.55686274503,147512.71372549032,623367.5725490194,1053587.6039215685,1402228.4392156878,1135798.156862745,934663.9960784334,185524.9294117648,146613.00784313728,-536663.4980392153,-495509.8470588226,-453461.5254901958,-10014.294117647116,489796.42745097977,569025.219607843,934605.4352941188,1156302.643137256,1020618.3490196082,840246.5764705891,404865.9725490194,-294764.70980392164,-358990.5333333322,-722974.6588235293,-375895.2352941174,59940.39215686266,170602.117647059,344291.1215686275,1057874.8862745094,1298044.5215686278,1362491.6901960792,1128298.0352941188,311853.529411765,-363253.2352941175,-463421.37647058856,-523350.5568627459,-756164.2980392163,11976.988235294148,394789.06666666735,583751.2666666665,1243056.999999999,1321272.160784314,1050503.082352943,854122.3176470583,516882.5921568624,-248343.26666666675,-98774.40392156874,-436458.34901960695,-356896.4156862732,10295.03529411767,-45720.16078431378,78854.90588235295,829365.0784313738,1198580.7803921578,770607.007843138,694174.9372549013,261992.08627451,39386.11764705886,-580836.9058823526,-814308.4274509806,-496099.5764705884,40170.88235294112,482121.9333333325,642258.2823529417,769971.2588235295,1259026.5137254896,1227279.3215686274,852258.1803921568,317358.97647058853,38306.76470588236,-352919.74901960714,-453970.650980392,-589520.2470588239,-33719.82745098044,466666.14901960775,742255.6313725498,1417541.247058824,1513093.4509803902,626666.5254901962,1137523.356862746,163529.62745098045,-300005.08627451,-553874.6666666658,-454388.0117647057,-232934.90980392176,129273.8470588234,390730.0274509808,748573.5215686278,920593.6509803942,1653066.7294117662,1192461.4000000008,881620.3921568638,709508.9764705898,-121674.13333333326,-56629.333333333314,-239848.3921568629,-656277.709803921,-195194.44705882392,409073.5254901968,497245.7803921562,1033223.364705883,993787.1411764702,1126459.9411764694,734326.2117647064,273430.38039215707,-114533.94901960796,-354753.4156862747,-569029.6627450982,-139620.84313725503,149921.54117647087,265543.62352941185,593781.8039215674,1063653.08235294,1162552.149019609,1063277.7882352949,1059054.8470588226,393297.9176470586,121564.61960784308,-119286.57254901993,-410966.81960784376,-380868.98039215687,-168249.05490196077,202726.4862745099,705089.5843137254,843226.5568627459,1436250.9333333354,1086651.6666666642,1144550.2470588249,-41038.94117647067,-10997.352941176476,452012.9725490196,-85890.51372549032,-284592.2117647064,238199.52549019648,491377.9137254899,712539.6196078433,969538.501960784,1104603.1254901928,1194335.7764705888,898259.3215686292,343243.3019607848,-7871.607843137237,-569960.3607843132,96745.54117647056,-154055.66274509826,126015.15686274516,232586.0588235297,679417.9686274511,797310.4549019594,1537286.807843138,1417521.411764709,822629.572549021,477347.59607843135,70759.90980392165,-513257.8156862745,-724522.0470588243,-115635.65098039233,-76049.19607843139,244685.3137254905,690762.9411764713,1313579.3215686274,1225707.7411764716,1249670.6862745106,1150156.6313725505,572102.874509804,259890.3215686277,-210317.01960784316,-127974.14901960832,-304454.25490196096,81567.98039215682,379968.2627450986,666401.0705882354,1323819.6705882335,1465742.2313725518,1501704.6901960785,1306761.7607843142,658950.5058823541,258807.4078431374,-548186.9411764704,-1108321.949019607,-358413.5764705875,116208.10980392156,454159.8784313727,1075311.2470588237,1256192.050980392,12102
140084.5333333334,70381.0039215687,5126.203921568584,-234360.0,-728161.2588235295,-1212317.3568627457,-1232175.2000000014,-1008161.1568627456,-692223.0666666679,-520377.4039215681,-356804.69019607845,2545.44705882351,104694.77254901978,83186.49019607856,-22978.91764705883,-413145.21960784274,-784283.956862745,-1207982.8627450983,-1191212.364705881,-1052893.9294117636,-755013.0392156866,-614613.6627450977,-279073.20784313715,33.329411764646736,-32192.16862745098,13832.560784313677,85843.41176470605,-370135.26666666666,-592269.5333333338,-1206109.1058823534,-1093046.4196078435,-998582.1960784312,-666542.2431372543,-551088.4901960779,-278721.20784313703,-69798.26274509804,62064.09019607835,83397.34509803921,-23619.576470588243,-448116.2392156859,-735632.5372549027,-1143354.9921568627,-1178262.6980392148,-1172717.3019607835,-752246.8745098034,-523848.1490196072,-267310.82352941175,-8533.039215686265,103933.8352941178,587.5960784313687,-10128.125490196076,-252183.03137254895,-942041.3176470592,-1246167.0392156858,-1045141.8078431374,-995109.105882353,-634765.5333333337,-461781.4980392156,-260708.9058823529,35534.945098039185,54822.09411764714,86932.3921568628,-50034.48235294118,-368206.8117647058,-718479.1921568621,-1143056.878431371,-1091619.9254901963,-1044506.76862745,-849610.8980392151,-647640.9333333337,-268930.560784314,-28190.59607843141,167446.39215686268,149901.3843137253,30231.70196078432,-338926.7294117645,-636672.188235294,-1161467.5411764702,-1025624.5647058818,-1014642.780392156,-719674.0392156879,-498758.176470588,-239733.64313725493,41075.858823529285,100795.11764705878,92306.38039215688,98958.50980392164,-373731.7764705882,-880555.7019607835,-1243630.7607843145,-1234007.74509804,-1220105.6392156857,-782061.5450980383,-594518.0274509809,-334592.9568627457,-129055.04313725498,97971.68235294118,-34373.349019607886,-71500.94509803918,-549740.4705882351,-1009927.8431372554,-1283535.972549019,-1019756.1921568632,-1134081.4392156852,-813327.7137254894,-479581.9647058823,-251765.91764705884,-16029.070588235309,-26657.79215686272,127523.9764705884,27949.568627450903,-276331.60392156855,-677525.2313725491,-1199780.4666666666,-1149195.8980392143,-1139589.290196078,-805076.0980392151,-583139.988235294,-215001.3568627452,78935.87058823534,133148.98431372532,193956.6549019608,54495.03529411766,-299606.1686274513,-708033.5607843144,-1110873.298039215,-1306597.6196078423,-1149622.392156863,-718226.1215686277,-648827.7176470597,-489451.3019607844,-79550.05490196092,46766.32156862743,89476.90196078435,-59169.0235294118,-308603.8549019613,-746736.4235294109,-1000244.4980392164,-1091135.6980392155,-1095626.917647058,-681701.8470588245,-671309.1960784317,-265859.9019607843,-36872.63137254902,6922.599999999933,114474.21568627446,-12935.262745098034,-233474.27843137272,-717418.3411764691,-1145111.3176470574,-1146648.0627450978,-1050400.6117647046,-667792.8509803918,-531120.5333333324,-253069.1254901962,37594.54509803916,30793.670588235243,95895.03921568624,-89276.96078431378,-607012.0,-722225.6705882358,-1178950.7215686275,-1121164.3137254915,-1158526.8941176462,-732505.137254902,-531355.1725490186,-303355.14117647085,38555.56078431369,79288.07058823544,11641.117647058809,-117043.43529411747,-275801.5215686272,-745605.1764705878,-1015212.525490196,-1136033.6745098042,-932298.4862745096,-532761.3647058822,-422366.4666666669,-253092.2156862747,9450.21960784316,91958.50980392157,121748.49019607832,208602.61568627448,-51956.690196078445,-627974.2352941176,-1049865.4078431376,-959783.4941176488,-924459.3999999998,-462775.7333333332,-503404.25490196,-357157.0588235288,17912.631372549055,424732.450980392,413954.5882352947,290104.8588235289,-6671.482352941178,-378459.6901960788,-917971.0039215698,-844586.4000000008,-852661.9058823537,-262272.219607843,-361622.0117647053,-162430.16470588234,135554.68627450967,339091.0235294118,280775.6117647056,163433.25490196087,-184753.2431372548,-625475.333333334,-1164045.7529411763,-847934.7372549024,-948290.6274509795,-351597.5960784313,-312097.4784313725,-91039.05490196076,131538.7372549018,22284.18823529413,79538.12549019624,-55015.34117647056,-213407.3529411764,-646719.8392156851,-1245772.5137254912,-1189811.1450980396,-1116140.1176470555,-675753.3882352944,-436463.9490196076,-230346.890196078,-23995.599999999995,264220.94117647066,183751.1843137257,248958.48627450984,-153375.42352941187,-603592.5647058826,-800459.619607844,-867804.1647058825,-728549.098039216,-403400.4862745097,-383900.2666666664,-83560.05882352938,150816.13725490202,177894.4862745099,280507.48627450987,180875.07058823548,-258709.9450980389,-543219.8901960776,-1024049.7607843144,-941658.9921568626,-1005439.9764705874,-563064.0941176462,-337323.8156862742,-222744.99607843117,63355.372549019645,2202
2975166.6313725463,2805053.7137254872,2194980.011764708,1529536.964705874,199047.6627450992,-1640970.8666666627,-1286660.4078431367,-837716.3529411781,-1892918.6941176492,377258.6784313735,1171922.047058828,2146407.254901956,2987892.854901966,2501466.399999996,1504381.6588235288,1204512.0745098009,-8653.06274509729,-964476.6941176464,-2671761.4509803937,-2091207.2745097976,-422970.9725490196,632085.6039215684,344686.6196078432,2612608.337254898,2861855.462745102,3125208.823529414,1099699.6156862734,927060.3568627452,-2166140.2039215644,-2799437.4823529366,-1665414.2313725492,-991904.215686274,108616.28235293998,-326891.9333333341,883540.9058823516,3121908.0431372514,2699882.733333337,2984846.011764716,2537505.921568628,1318578.9254901963,1204987.0196078408,-1853633.827450981,324264.050980393,-562718.4823529407,-236147.2784313716,-15091.235294116605,710550.6862745093,2469293.631372556,3878107.913725481,4327465.403921558,2831263.3058823547,1395822.5843137277,376146.0941176446,216941.66666666768,-1497652.4941176453,-551693.1254901957,-514604.1647058818,250150.878431373,1887284.2666666645,3037972.996078439,2971220.827450987,3719103.7098039286,2172482.047058819,1502992.11372548,-830874.4901960763,-2526643.5176470587,-859262.7215686264,-1068243.078431374,554590.082352941,97074.87450980351,1500872.549019608,2593999.717647052,3675081.1333333272,3278566.4117647195,2907252.243137248,708542.7725490244,331169.0784313699,-1613926.1254901951,-1286984.3764705895,-1502372.231372545,-688217.5960784331,1092253.8509803852,689994.5725490178,2142649.8,2422686.61568627,2357053.8000000007,2223264.372549021,683243.1960784295,-1107598.3960784294,-1222397.7960784286,-2061538.4392156815,-1103867.2431372534,-277833.44705882244,-85366.13333333205,69938.29803921514,2142409.5254901927,2706273.654901959,3636069.356862732,3130526.878431383,447778.6862745076,-1272498.6588235283,-1097801.7607843156,-1115414.0823529423,-2002659.8901960736,-206817.2313725482,629872.6941176452,929925.862745096,2873973.21568627,3034488.035294109,2498582.1058823555,2327450.874509805,1186282.129411759,-1102248.2117647042,-555383.2666666661,-1342150.690196076,-1285168.4784313734,-497517.1529411759,-760515.7450980411,-860370.4156862757,1825610.7411764676,2720109.329411763,1733630.71372549,1698257.7725490176,602111.1843137247,132774.63529411814,-1819683.3960784264,-2180619.658823525,-1019305.2156862756,-166948.84705882243,1066186.7215686194,1545925.0196078387,1418790.403921567,2876539.76862745,3382259.180392166,2757120.043137257,603137.5647058819,270244.9254901969,-1163967.4392156857,-1058651.0274509806,-1662731.87843137,-520307.3254901954,753766.1490196099,1558232.0274509843,3650063.28627452,3737723.9725490008,1397535.9725490182,3078543.325490205,92644.28235294172,-1093943.415686275,-2043205.199999996,-1083129.57647059,-280070.56862745073,123102.301960783,607206.588235292,1628789.5725490216,2131612.094117644,4262735.890196075,3254870.254901969,2987188.858823537,2370586.5607843166,-221917.17647058744,-377660.6588235293,-155788.45490196015,-1979063.380392154,-691206.6313725491,560150.5647058801,723576.0039215654,1982027.4117647004,2127797.5843137186,2850893.423529404,1854779.647058818,1005587.345098041,-17587.1647058829,-999250.4392156852,-1064655.0509803935,-528652.4313725495,-153348.9333333329,230637.58823529416,974191.4509803904,2381727.078431372,2960408.6352941114,2070016.9215686144,3225147.290196073,1282851.133333329,288799.1960784308,-790438.7960784325,-1414254.7372548997,-1186174.5882352905,-1049163.427450982,210744.15294117483,1634177.5921568635,1756750.6156862706,2763822.211764705,2415024.384313728,2971999.482352942,-276390.21960784245,435519.3803921542,1412549.5529411696,52898.3372549025,-890634.1921568614,594254.5372548999,891327.1725490195,1373448.79215686,2095087.913725482,2488334.7882352974,3270962.447058844,2696417.0235294094,1121657.909803924,-42488.5254901954,-1814714.513725492,148098.8313725498,-729053.6941176476,-589095.5058823526,60075.2980392147,1498282.3843137224,1633098.1333333342,3879413.9411764583,3841381.7686274447,2313568.77647059,1085813.1098039171,113823.50980392288,-1583860.8549019557,-1800777.9647058807,-368548.1137254902,-704623.0000000012,142463.61176470763,1556218.7999999975,3373538.607843143,2826397.549019612,2993220.1882352824,3161487.105882348,1332155.3019607903,656793.3686274539,-867138.0705882345,-252990.125490196,-798293.1803921562,112531.45490196034,719470.2156862757,1631349.5803921493,3162632.8901960766,3587512.376470594,4070948.639215672,3445147.600000005,2344610.894117644,1365752.85490196,-1300011.4941176467,-3123505.541176474,-1260834.6705882358,-98114.9058823537,818048.7529411745,2512226.509803922,2953010.560784313,12303
7349231.635294133,5899194.45490197,4969783.396078439,2725151.0431372616,1656089.9686274475,-1357753.4431372562,-2056880.200000001,-1710339.4549019593,-2329016.921568627,2131181.2784313825,2924927.160784299,4793131.07450983,6351404.364705905,7033201.756862753,3398694.8509803778,3366553.7882352797,255597.0549019609,362860.3803921528,-4389968.019607837,-1150610.1725490205,1413279.3568627369,3409864.850980368,2652320.2156862747,6507179.650980407,6697818.329411748,7659852.160784308,3579203.4745097924,3738075.184313715,-1355444.8392156877,-4002592.1843137215,148981.10980392408,-531851.5960784318,2016538.1490195936,2181329.364705881,2670294.6784313745,6090975.035294111,6711495.7176470375,6935573.094117673,6746348.117647036,2424285.670588242,2317465.3803921565,99612.70588235544,1968566.721568633,131000.78431372564,1223483.9137254849,2107794.639215694,3109863.007843146,5121778.196078433,8280148.6588235395,9473450.219607864,6799542.290196078,3816274.3960784255,1201829.7019607876,3090711.054901958,-1598395.588235292,-340762.07843137346,1581340.6666666733,3040763.360784328,4561907.050980371,6607512.968627438,6432918.4549019225,9567014.917647066,6046311.407843134,3593577.713725478,-230953.505882353,-1432741.9058823537,-495499.12941176473,-1353758.5137254903,1573593.4000000013,2859625.988235292,3712983.133333316,6484619.023529391,7184137.917647052,7628523.486274515,5788490.215686286,3219734.901960765,1083049.0823529384,-1696.639215685369,-451869.6117647064,-1757455.4549019611,1780291.5960784347,3048315.568627429,3272622.3372549,5570973.007843128,6952730.000000037,6491337.082352923,6155470.882352937,4098072.84705881,-50547.08235294119,168917.33725490182,-933843.3058823532,-1715453.7019607855,1452421.576470586,2558086.101960788,3067068.4274509763,6611405.207843113,8417000.654901966,9833572.537254944,6733618.584313703,3297478.33725488,277685.5450980381,422448.3372548997,111215.03137255152,-2441118.2980392235,668801.258823525,3243797.3843137114,4284550.756862738,8331402.152941178,7942688.2588235,8031149.674509764,6358328.564705864,4889515.031372564,1461791.9921568625,1028854.607843134,551385.73333333,23608.29411765054,759771.4823529378,735779.2705882326,1356258.8000000007,4649246.505882373,6702622.482352912,5459101.737254885,6218384.203921564,2929428.8784313607,1339319.5607843087,127564.60392156924,-1799338.8666666695,-2354213.156862745,1265196.4901960762,3411743.1686274465,3826399.2745097848,5380658.64313726,7964881.1098039,8004240.46274508,5776448.941176455,4052184.48627449,1552928.6627450937,614697.5882352892,-296890.56078431377,-1844245.023529412,1396947.254901955,3106133.54509802,4574177.596078422,8064699.564705873,9585529.956862718,6469865.035294118,7288370.015686301,2672746.945098035,1303755.0392156774,-621509.2509803923,-198964.5921568622,-354493.8117647078,1744775.6313725526,3116358.364705868,4878272.894117616,5766970.368627476,9802262.333333315,7888664.960784288,5561573.596078437,5319129.984313704,2285798.400000004,2793373.941176448,-110006.61568627326,-1531993.2039215674,-95837.06666666824,3516539.160784312,3610624.43921566,6996997.200000017,6687178.725490179,7650633.4431372285,5188528.921568628,3419642.247058799,1614192.0588235294,993507.466666661,46977.06666666924,1525305.2392156883,2162656.9882352846,3111368.8627450787,4110702.972549005,6511313.823529391,7451623.376470602,7852776.956862735,6870944.592156841,4286982.529411762,3238368.0274509625,2023213.149019617,1254540.686274507,-454048.2745098043,154122.29019608098,1844942.8509803943,4751102.2549019735,6010705.094117645,10042969.850980408,8588171.533333326,7725933.6941176765,1834111.4117646995,2258884.866666663,2743194.450980379,1611281.8941176543,603787.4666666646,1986294.9686274591,3779296.301960781,5220581.831372536,7293992.866666655,6869743.454901943,8546681.443137273,6959152.980392181,4338669.219607838,1896504.9333333352,-1697047.286274511,1860744.913725495,251058.4666666669,1693697.0431372677,2732362.854901952,4650927.701960787,6807536.388235264,8437257.54509803,9162242.67058822,5570581.090196091,3725789.705882364,1962359.1803921529,-781319.101960784,-1531418.8196078404,568966.1921568592,849940.7490195995,2367189.545098035,4342106.658823528,7699826.345098051,6043337.890196088,7847003.686274486,6404135.572549004,4559387.517647059,2397625.196078413,330541.901960782,1760666.4745098017,-244954.0980392153,523529.4823529373,2485418.376470584,4243257.952941173,7229312.121568614,7674084.705882338,7776253.270588196,8007458.0980392415,5235530.898039209,3348390.247058823,-248554.65882352935,-2845524.015686272,-1037568.2196078424,855256.0078431307,2599521.2156862803,5366142.188235287,6657609.392156859,11303
2669336.101960789,2051481.8784313768,1816988.0196078443,1165236.3725490195,36464.61960784344,-1373529.717647059,-1457429.7764705876,-1051310.0392156846,-1504955.572549017,310097.98823529424,930311.4039215676,1699438.0431372563,2495459.2549019605,2166850.745098041,1159043.5764705904,1092523.2980392152,-218115.8470588236,-688464.9882352946,-2417354.4627451026,-1765026.4705882317,-145555.13333333284,800931.7490196074,507224.2588235301,2271899.0862745093,2325758.92156862,2591258.3294117604,1003296.8509803877,731791.1764705875,-2016842.1019607787,-2246031.392156863,-1384152.5725490206,-1034932.5568627424,377352.7490196096,-17013.941176470486,722166.3450980401,2479502.6666666665,2313607.6235294063,2422147.83137255,2129283.031372552,958948.035294118,816975.8784313723,-1155515.4470588255,361270.4980392155,-626335.4901960777,-185188.96470588155,122017.1529411765,512040.1450980387,1946761.6470588252,3368106.901960788,3541157.098039217,2190359.505882349,1083371.2666666666,191804.99215686263,496452.8784313722,-1326770.4431372543,-539669.4000000012,-88837.29019607778,284914.69411764736,1559971.745098041,2521828.200000002,2533182.058823527,3064873.599999998,1824844.5411764728,1203135.3019607852,-1044644.3607843115,-2107010.368627443,-847302.5725490211,-1067045.643137254,535132.2901960773,274884.30980392126,1163004.6588235295,2248937.207843138,3079844.32156863,2593731.2941176454,2348319.8627450964,507569.9098039207,396033.5137254904,-1155558.1882352936,-977575.6509803932,-1154704.3960784324,-82851.04313725446,1201392.1490196087,913560.3058823516,1938235.7490196088,2402803.98823529,2168331.196078433,2039277.003921575,967649.7882352904,-810499.9058823547,-758411.5372549027,-1546745.105882355,-874885.1176470595,99608.9176470588,287502.63137254893,332734.23529411736,2185959.678431375,2695002.007843141,3107289.0745098023,2807597.564705877,736441.8823529414,-950057.0117647006,-947694.5960784276,-982619.9725490176,-1849145.784313728,17612.32549019614,901144.1450980378,991193.588235294,2687068.443137256,2806395.847058826,2255790.1098039243,2100594.4431372564,1268178.749019607,-692818.9803921548,-90926.39999999967,-868179.9725490201,-908099.6823529385,-9623.596078431325,-246149.34901960765,-397147.5450980404,1662228.1254901967,2515361.133333331,1535044.223529413,1671985.7725490143,675545.6509803906,124892.28627450996,-1306811.0509803924,-1783205.5529411708,-1150704.874509802,84481.80784313724,1148241.0274509848,1240477.4549019637,1462655.2352941164,2646766.8235294144,2785697.219607843,2140439.7607843126,745179.0862745107,108916.6980392159,-702413.7411764691,-870346.7019607848,-1489188.1490196104,-120928.19215686184,1075319.1921568615,1441318.1254901951,3196824.294117664,3366075.7568627503,1197002.341176472,2804538.5215686234,377753.43529411766,-827557.9490196074,-1276243.1490196076,-863195.1450980392,-524393.9921568634,315451.55686274526,887635.4274509794,1494061.2117647096,1884966.6235294116,3758005.1764705833,2701587.6627451004,2249953.5686274506,1897931.2745098087,-378858.9019607857,34784.06666666676,-244980.7098039232,-1664525.980392151,-507770.17647058953,928751.6156862746,794426.8235294113,2111666.729411772,2004263.490196076,2464304.584313724,1703848.6784313698,711650.376470588,-262322.97254901973,-729753.0745098027,-1124250.949019606,-324446.89019608,317445.8980392159,565118.8039215684,1014410.796078432,2251974.3019607835,2470203.513725494,2215730.572549016,2669180.4509803904,999542.6196078452,292574.3490196082,-162485.588235294,-800738.1137254891,-937124.8039215672,-510018.8823529423,436760.54117647104,1383521.549019607,1641446.6862745078,2829725.898039212,2280346.309803924,2573152.8941176445,-116920.46666666667,172674.57647058828,1442609.5176470603,49087.81176470578,-653467.8470588229,482321.5568627447,874338.8627450971,1215721.1764705903,1969094.517647062,2368401.745098039,2608308.6274509737,2369918.952941176,901989.45882353,-66503.50196078442,-1151991.4196078444,451709.45098039205,-645314.2745098027,177696.81176470587,484727.6901960775,1391055.5999999987,1571568.4784313738,3434369.415686272,3248796.466666686,2015037.0196078476,1165869.8470588268,161541.19607843144,-1160363.8509803913,-1531084.6431372531,-235236.0352941176,-248292.51372548967,476405.2039215678,1348173.2274509838,2951960.7568627484,2456987.4627450923,2602649.2549019614,2670074.152941176,1295755.5058823533,681204.6627450967,-596739.1058823538,-294308.01568627456,-1084831.1372549024,155130.00392156857,796066.65882353,1271035.184313726,2995011.411764702,3331276.4,3439521.619607846,3043640.619607848,1835156.152941176,960903.7450980402,-1279951.1490196108,-2357956.803921575,-947994.6235294112,89314.22352941183,871433.6980392155,2096494.9058823567,2685827.250980398,12103
