200001_srad,200002_srad,200003_srad,200004_srad,200005_srad,200006_srad,200007_srad,200008_srad,200009_srad,200010_srad,200011_srad,200012_srad,200101_srad,200102_srad,200103_srad,200104_srad,200105_srad,200106_srad,200107_srad,200108_srad,200109_srad,200110_srad,200111_srad,200112_srad,200201_srad,200202_srad,200203_srad,200204_srad,200205_srad,200206_srad,200207_srad,200208_srad,200209_srad,200210_srad,200211_srad,200212_srad,200301_srad,200302_srad,200303_srad,200304_srad,200305_srad,200306_srad,200307_srad,200308_srad,200309_srad,200310_srad,200311_srad,200312_srad,200401_srad,200402_srad,200403_srad,200404_srad,200405_srad,200406_srad,200407_srad,200408_srad,200409_srad,200410_srad,200411_srad,200412_srad,200501_srad,200502_srad,200503_srad,200504_srad,200505_srad,200506_srad,200507_srad,200508_srad,200509_srad,200510_srad,200511_srad,200512_srad,200601_srad,200602_srad,200603_srad,200604_srad,200605_srad,200606_srad,200607_srad,200608_srad,200609_srad,200610_srad,200611_srad,200612_srad,200701_srad,200702_srad,200703_srad,200704_srad,200705_srad,200706_srad,200707_srad,200708_srad,200709_srad,200710_srad,200711_srad,200712_srad,200801_srad,200802_srad,200803_srad,200804_srad,200805_srad,200806_srad,200807_srad,200808_srad,200809_srad,200810_srad,200811_srad,200812_srad,200901_srad,200902_srad,200903_srad,200904_srad,200905_srad,200906_srad,200907_srad,200908_srad,200909_srad,200910_srad,200911_srad,200912_srad,201001_srad,201002_srad,201003_srad,201004_srad,201005_srad,201006_srad,201007_srad,201008_srad,201009_srad,201010_srad,201011_srad,201012_srad,201101_srad,201102_srad,201103_srad,201104_srad,201105_srad,201106_srad,201107_srad,201108_srad,201109_srad,201110_srad,201111_srad,201112_srad,201201_srad,201202_srad,201203_srad,201204_srad,201205_srad,201206_srad,201207_srad,201208_srad,201209_srad,201210_srad,201211_srad,201212_srad,201301_srad,201302_srad,201303_srad,201304_srad,201305_srad,201306_srad,201307_srad,201308_srad,201309_srad,201310_srad,201311_srad,201312_srad,201401_srad,201402_srad,201403_srad,201404_srad,201405_srad,201406_srad,201407_srad,201408_srad,201409_srad,201410_srad,201411_srad,201412_srad,201501_srad,201502_srad,201503_srad,201504_srad,201505_srad,201506_srad,201507_srad,201508_srad,201509_srad,201510_srad,201511_srad,201512_srad,201601_srad,201602_srad,201603_srad,201604_srad,201605_srad,201606_srad,201607_srad,201608_srad,201609_srad,201610_srad,201611_srad,201612_srad,201701_srad,201702_srad,201703_srad,201704_srad,201705_srad,201706_srad,201707_srad,201708_srad,201709_srad,201710_srad,201711_srad,201712_srad,201801_srad,201802_srad,201803_srad,201804_srad,201805_srad,201806_srad,201807_srad,201808_srad,201809_srad,201810_srad,201811_srad,201812_srad,201901_srad,201902_srad,201903_srad,201904_srad,201905_srad,201906_srad,201907_srad,201908_srad,201909_srad,201910_srad,201911_srad,201912_srad,202001_srad,202002_srad,202003_srad,202004_srad,202005_srad,202006_srad,202007_srad,202008_srad,202009_srad,202010_srad,202011_srad,202012_srad,COMUNA
44681783.172549,38976316.28627451,24059196.76470588,15218911.890196102,8546304.854901966,6081087.031372535,6516442.18039216,12878104.97254903,28925174.61176476,37615706.12156869,41947270.13333327,39349886.75294118,42799598.42745102,34993197.400000006,28594538.894117653,15234082.121568616,9641552.560784342,6007102.160784314,7447148.007843133,14910933.423529375,24455359.133333355,39253520.33333331,42392398.06666668,50165227.37254913,48150777.274509735,42635497.07058823,26073793.682353016,14695571.698039208,9988159.239215676,6042609.592156853,6716415.890196072,11399806.203921575,21524127.57254903,38060229.44705882,45360770.39607848,46035022.01568624,41570622.86274502,36032347.10980396,25084562.5372549,17271022.43529415,6916413.129411765,5569246.466666663,5480783.529411759,14217635.29411766,24498728.96078435,36483513.58431378,46049233.52549017,38522524.19607831,42638742.87450982,43717368.17647068,27401593.247058857,14920395.7019608,9745537.533333335,4553074.086274512,7749597.458823519,12937965.49411768,21991078.498039223,36820354.18039226,44672560.69019601,47258362.84313719,43372474.47843141,45361190.73725494,22162280.929411747,14498552.619607871,8783962.407843156,6238326.929411765,6057984.250980399,12110949.505882371,21944988.57647058,37385098.12941172,49921803.38431368,42451726.9529412,44039032.89803919,40175978.69019611,23313864.77647057,15521747.22352942,8787576.458823526,6232236.490196077,6502527.223529411,11352496.141176475,17980796.325490218,34483005.09019604,43149744.84313729,45942548.356862776,43821371.70980388,38366818.47843135,23312411.37254899,14385797.105882358,8165055.309803928,5322705.850980396,6695919.976470581,12592568.129411737,21127652.28235292,31340223.73725492,43111986.80784316,37067127.26274507,50557143.05098026,35865260.549019575,23200812.239215694,13947412.729411785,9947528.129411766,5948421.015686263,7508278.368627447,13355315.082352933,23478571.67058821,33227414.992156915,45416052.7490197,45014734.6549019,42774287.54509802,35324625.254901975,27487449.11372549,13367117.325490229,9320500.184313726,5590708.713725481,6482507.882352947,12506269.490196068,19463643.60784313,38304195.74509795,45897182.95294115,51744356.32941168,42380939.28627449,39626113.29019616,26128581.290196124,16485131.870588206,8871276.627450971,5366712.094117647,6626896.952941168,14943245.831372522,20568876.9529412,35157980.866666704,42510687.65490199,44578166.454902,46197160.537254944,40780097.91372556,27206501.400000013,14549350.18039215,8349949.952941175,6036326.992156852,5656076.380392153,13380747.039215695,20681095.54901957,32734909.27450973,43168686.71372551,51537790.490196,46469675.72941187,44402946.98039216,22148110.474509817,15238518.509803943,8731989.929411769,5874203.98431373,6565298.60784314,13918681.803921545,21650292.490196064,34061537.09019615,42511496.34901964,39334675.58431374,46124263.44705891,38443085.93725486,27172649.96470587,16650113.298039217,8779008.239215689,5024883.274509807,6241348.764705888,14187823.66274511,24086426.85098039,34431405.76862749,45208169.3294118,39443268.38431375,42941287.96078433,35804038.529411845,23201383.09803923,17214376.545098048,10103591.49803922,5747143.882352937,7277413.30588235,11520582.956862755,21624610.10588237,37898089.38823533,38663905.00784312,41312037.68627442,53797768.78823532,36985783.45882356,26264146.945098024,17428422.227450967,8001259.572549023,4407475.054901956,6072407.749019611,14266176.925490206,23037676.35686276,39845650.43137247,45123256.56470583,52952012.21568631,57218007.11372551,41516773.64313722,26070760.572549045,17212007.701960854,10478229.388235282,4790023.996078432,7111364.333333327,13060265.09803924,24704425.752941165,37546639.752941184,43348622.0862745,44784471.01960783,41236225.63137248,38766242.43137257,27425538.113725435,16642411.75686272,8231628.211764705,6103806.572549002,6384820.223529417,12177194.99607844,19845376.90196079,35145908.427450925,44163922.141176425,43839483.88627452,41253816.47843128,36663530.7843137,26567108.73725488,12894745.858823562,8535007.098039212,5853353.87450981,8014293.239215687,12996433.8156863,24016565.454902004,40602519.376470506,46967912.278431386,39454606.96078432,48127010.15686274,40202115.411764696,22793772.73333333,14835626.380392162,9754222.917647077,5043467.584313722,5378497.243137252,14172663.141176462,23292599.870588187,39333025.4392157,44856865.57254901,45551738.7254902,40495785.79607847,41476331.18039209,20378152.43529409,16063688.8980392,7595363.564705877,6005365.20784316,6717326.75686275,14396829.058823528,21914242.36470592,34167722.337254874,40778641.27450979,42490881.26274504,12102
29564552.67843141,30327033.14509806,33158862.35294119,27673344.039215703,23303978.99215686,22016244.07843137,22741302.1098039,26952851.3019608,31532558.26666666,36481541.45882354,39512814.68235297,36320193.24705884,31257171.37647056,24808492.486274514,30197874.572549,27084142.41176473,23692616.25490196,21948484.054901958,22766799.02352939,26340113.71372549,30413005.03529411,36468979.98823529,38489556.870588206,36751506.96470589,39139939.88235288,30582114.32549019,30906622.427451007,27103829.00784313,23073230.22352943,21765687.33725488,21769161.91372552,26639879.262745097,31215698.35686276,34260547.95294118,38737931.89411768,38327009.03529414,36317570.75686275,33121677.83921567,31628726.96078434,28118382.07058821,23050705.04313725,22038047.98823529,21589999.188235283,26685709.72156864,31211509.7764706,35897374.09411762,39208096.39607839,37290143.8039215,31954139.913725484,30340505.59215684,34010431.5019608,28841450.513725493,24144279.580392197,22160199.027451016,21521427.22745097,24258047.68627449,31262569.34509804,36810605.48627447,40182508.356862746,38807151.6980392,33247147.341176447,28027481.141176477,34490025.913725495,28576041.66666665,23973995.258823548,22154454.73333334,22793598.10588232,26978986.08627452,31029635.19215688,37057384.24705876,38561237.36078429,36343659.33333332,30170758.780392136,30208410.09411766,31799091.51764707,27109148.196078435,23368209.858823527,22207600.403921533,22577205.427451007,26688063.07058824,30559855.047058795,36570366.870588265,38674599.78431369,39546529.70588237,36274399.32156866,33262220.568627466,32142034.95294119,28586164.87058826,23611275.317647044,21141170.254901964,22228248.7137255,26555266.917647053,30808495.796078384,36234141.92941176,39723458.85098041,39745720.639215685,30880509.01960785,34006514.74509802,33542729.600000016,28896926.95686274,24094698.9764706,21811102.470588192,22767271.545098037,26890353.87450981,31768295.776470587,37021757.18039216,40232678.56078439,38163642.93333331,38643330.54509807,30043618.305882383,32216857.51372548,27086099.64705881,23699578.35686275,22221278.564705875,21953367.47450984,26963018.23529416,31154333.007843107,36767334.894117646,38225328.0980392,39086886.05490197,37992158.945098,30767428.99215688,34211594.19607842,27933925.27843139,22767213.57254904,21671347.76470586,22758800.32549021,26716702.094117627,31374288.976470567,37008563.63921573,40418625.56862745,39075220.55686271,36374475.81176466,22680122.019607835,33287731.08235296,27885775.756862745,22959872.7294118,21487627.04313725,21393579.33333336,26623517.749019597,30853844.662745114,36779741.50196078,39477630.20000003,36521106.36862745,33979446.3764706,25528276.372549,30557318.65490195,27510944.592156887,23702882.380392164,22095219.850980405,22531652.827450976,26648239.188235253,30794577.92549017,36703798.21568621,39864619.1019608,35340724.20784314,34243049.039215624,29346999.21176467,34802468.30980396,28835036.67843136,22511476.59999999,20585474.14117647,21911412.933333367,25950178.960784312,31096756.40784312,36654695.925490186,39492175.03137258,35925490.725490205,33560030.93333336,33746376.23137255,35718999.76862746,28008547.55686277,23505136.058823537,22017930.81176469,22471735.290196083,25748762.254901923,30976128.019607853,35284159.62352943,39358629.97647059,39008589.92549028,33543518.682352897,28271607.39215684,29210531.89411765,26481259.68235293,23649412.53725491,21990289.035294134,22297803.490196064,25712596.694117658,31017033.43137252,34826834.92941176,39553962.6196078,40124033.65098036,38831094.843137264,27199058.95294113,35638928.88627449,27659902.243137207,23304722.51764708,21429905.23921569,21911978.18431373,26490034.149019584,31240188.72941173,36639977.19607835,38929311.26274508,38989596.137254834,31518259.250980385,30238084.882352937,31373324.78823531,28518276.388235327,22314010.431372564,21178713.52549017,22578114.047058817,26734452.819607817,30543732.25098036,36841659.38039212,38858404.196078375,37797472.18039209,34548273.53333336,26347496.01568628,34693309.180392124,27410954.07058822,23764917.22352945,20859141.788235296,20827742.243137263,26491586.447058823,31392201.44313725,36283756.827451006,39122728.40392165,37559519.24313726,32076727.3764706,25131206.415686272,36195969.99607842,28308255.400000032,23682194.67058824,21223162.98431374,22115662.58039217,27046951.431372568,30067390.768627435,35971579.109803975,35999224.737254895,38226003.090196125,33871336.03529411,29116303.22352942,31020595.556862768,27616852.67843137,23752630.678431395,21715299.811764725,22877680.78431373,26497563.01176471,30616547.780392155,33789308.27058826,40551321.49019605,37554529.545098014,2202
116168966.71372584,113986882.207843,67310898.38823538,39762037.02745084,22374836.64705885,16514368.121568592,14772355.929411834,32877980.929411776,75962862.35686246,103248985.10588214,122949118.14509806,130446643.12156908,119691617.05098055,111537117.76470552,74212238.55294149,37863852.89019602,25500067.65882361,14398284.07450978,18724423.87058818,37171894.17254893,65554701.53725494,105117943.40392146,126052355.79215652,149803260.08235258,126833034.78039265,112390791.8392156,80810813.72941184,38620769.93725499,24941465.87450977,14350232.392156877,17299094.250980344,29468227.850980416,56315700.98039208,107608875.98039252,138093241.76470506,135033812.56470615,116441635.96078391,101955448.3215685,69438511.47843108,48002830.52549015,20230541.768627416,13643267.733333347,14593152.980392229,39153571.48627453,63471796.69019608,103801387.43137236,140940626.1019612,127495860.69803914,109078148.83529404,119582907.06274489,80313311.80392194,42072642.894117646,24479114.878431283,11183523.443137247,18944171.5803921,31659855.682352964,57891251.04313717,105632086.6117652,140360771.93725497,126598984.62352931,124030541.99607784,123910062.60392173,69876964.85098043,36112627.92549023,23415087.32156853,13490143.65098042,15873383.24705883,33992699.56862735,51820567.86274484,108480702.90980342,143009089.46274453,116537392.235294,125542290.74117608,111148092.73333356,60042038.81176474,40588924.92156851,23145946.97647061,14135879.83921575,17970813.403921586,24951265.58823536,55296188.68235304,95955496.0470589,122605399.81176464,147892338.07843134,125365125.56078409,107917710.35686262,64022486.26274523,37526337.34117634,22758584.098039266,11311415.505882328,15200105.79215692,31410002.0078432,46886436.14117632,82274164.39607841,134611020.6431376,112160918.17647052,133927014.69019656,108191485.87450956,62632502.26666653,40679552.76862751,26049896.400000025,14175975.75686273,18546430.694117703,33784494.92156863,58505037.741176434,88424966.34117658,134856933.77254876,131439641.06274503,117052909.2000004,104632815.0156863,72255343.16862766,32351336.627450924,25033478.63137254,12392013.745098071,15561200.380392132,30587422.76078419,44948998.38431388,104126798.91764732,148384260.8823528,149800035.7764706,114837417.10588229,110274991.29803929,67746713.11764707,40129563.231372535,23085540.827450957,12757362.482352924,17400678.478431318,37048175.79999991,54226405.50196089,92475503.41568635,130304011.9490192,133465655.10980378,129077549.70196085,116161153.3529409,74603336.94117644,40361079.247058906,19900489.807843134,13746067.6901961,15755949.019607823,36302918.2745097,55746181.15294111,88232113.72156814,137766594.58431345,135444231.21176445,121278355.47843131,129629559.30980392,63297786.59215694,39604743.74117648,24735017.94901961,13726987.992156876,16789809.533333283,35108192.15686271,55380961.43529386,81614580.8078435,120244575.58039236,125275750.64313708,115428638.51764728,108201614.8823532,71883580.57647045,42092867.129411735,23350691.803921506,11243247.113725515,12694234.321568606,37151570.39607845,60983356.62352952,94176498.839216,126350050.5490198,131358626.05490196,126575483.70196098,105576823.83921598,55821818.65882348,38036080.28627455,27012932.63921565,12764212.835294126,18351147.57647056,31254913.745098103,52979603.89019597,98219036.30196044,117975096.28235292,124381599.62745091,152538986.1607849,98727039.9372548,72067836.92941149,43978615.913725525,20588587.196078468,11269341.46666666,16025080.109803936,35816842.72549004,58783111.76470592,109976580.51372516,129460660.31372604,154567013.08235294,145433017.7882351,113858360.03529423,70269126.30588253,40325588.20392168,24646441.5411765,11751703.71764708,17897761.505882323,32474078.25098044,59262125.93725497,98059334.90980388,120808987.51372547,133428980.99607784,112539964.46666634,111511922.11372514,78646119.12549004,42194535.631372586,22542416.886274494,14460515.564705878,14725074.32941178,33148638.85098044,57387173.41176461,100920266.79215692,130388606.6549024,131834741.87843177,118884635.93725456,96445403.63921544,73682534.25882381,35762885.22745095,22717408.203921583,15062351.15686272,19973896.70980389,32897678.690196022,64665845.64705888,113196566.72156876,141269416.92549005,118288230.20392224,135313006.5803923,116585307.3333334,60228410.62352944,44092056.82352936,24935980.38039223,12435074.858823506,13805208.000000004,35171702.423529305,58032109.36862751,102428045.0588236,138030842.87843105,130330355.10196117,110187296.4392156,115851488.98431385,57577999.57647066,41664834.35294124,19965272.33725489,14431061.419607865,19574678.188235283,33499191.32941176,56513532.61176474,87721068.2274508,111611016.46666633,121534439.74901968,12303
205802229.7686276,185450543.0470584,109379638.73333327,83845839.21176457,57676287.3725491,42081026.54901978,43768322.58823541,99067337.35294098,145162501.57647055,166714240.55294067,189415480.6509803,162491321.6392158,161324004.254902,108194692.36862758,137143986.96078452,85185612.71764714,62681196.00000013,35227899.46274499,57273589.35686274,79965612.24705885,119072512.82745066,171673816.53333366,167624268.6901967,221674311.9254902,213500515.564706,206504370.50980425,128134664.73725516,70616662.43921565,64461978.18431383,46494633.80392159,41264635.24705888,83213555.96862698,83993240.33725446,125347924.62352891,205029753.18431407,212920377.7882347,181980096.2980394,146415320.60392097,108142804.24313724,101209644.65882358,55129097.36862726,38966659.56862742,30832696.0705881,76824528.03137265,90399116.50196104,124910927.6078426,191970260.65882432,157245811.99215725,212852713.2156853,252139109.0431371,103183677.56078424,68261765.85882375,68688811.09019606,23729371.415686183,48020989.13333336,83084687.505882,87549467.96078421,152862124.1686277,189592090.78823575,202692267.83921528,192795201.799999,238078040.18431365,106423939.21960749,82497904.79215695,52778144.18431372,41024752.862745136,40999299.313725404,85727520.69411767,89484998.53333338,153870795.76470652,194703127.1450983,281147411.8745107,210847871.6117647,189929892.03529423,92358895.52941182,78668467.23137252,58431568.18431352,40687853.8,48821040.54117653,74722459.50980397,77204565.78431378,136905429.003922,174655434.678431,139013193.3176466,200892546.8117641,191492942.81568605,116284088.92941236,75064248.68235305,59046887.50588229,33401916.51372546,44939780.96470608,72991138.56470601,109358689.30588248,130599318.77254874,206845853.1921568,179270419.24705857,244077590.32941133,173782704.69411778,139819071.86666694,79427797.53725517,60204090.71372544,36981854.47058827,46080901.050980285,88610222.16078436,107899217.63921537,117147833.53725484,175828594.60392198,260143351.13725427,194087710.17254853,114162211.13333382,111504363.5568625,75363216.3764703,48160908.11764726,41293697.84705882,47589773.37647054,70016648.14901981,97772827.97647056,157764679.80392194,180552030.91764688,222880496.0,155438825.6784311,189483189.32549047,120804752.52156898,85567593.15686263,53000810.90196082,32309156.164705947,52291852.55686288,86591867.52941193,78066750.01960778,138103057.0039217,191110324.45882392,205258489.68627465,205173175.55686265,193035342.73333308,108947916.92156816,74371167.2588236,48242500.94117648,35966684.42745101,41368676.23529418,85275522.7058824,79469830.44705886,161888858.4941176,181851165.5686278,273609046.71764654,245334641.03529423,168356094.63529456,113055439.92156866,86142341.18823558,43193210.047058925,35654537.39215703,41613994.262745164,73596507.36078447,97049716.52941184,140881077.50196105,222602484.1176472,177221548.20784262,266110521.2039204,202552385.16078404,146508763.49411732,82620163.94509827,49597168.47843127,27419434.894117627,44607182.65490205,78085218.18039215,139028359.294118,160173708.7568626,199144208.56862745,196524786.81568664,187011599.3725493,182079875.56862792,128220666.29411691,99885558.79215692,56975975.61176464,38879809.141176455,42167983.27450977,61682412.19607823,100381259.83529416,162288153.1647054,147238801.30196074,193576415.039216,238073096.97647068,196798923.56470552,115053038.24313696,92235437.12156852,46120495.75294116,32348476.93725493,37758987.12549016,69653776.27843148,121925055.7215685,184424505.7411766,210070901.16078463,215940901.36862797,266534263.67450917,186622987.48627445,135438442.59215707,116994581.04705864,85288473.9764705,38107265.32156867,46914587.321568586,66080185.46274512,130408184.92548992,177880670.15686318,202723710.768628,167250254.76078445,176466640.07843113,147429734.12156847,140756816.50196072,93801245.0078431,50829438.21960777,40386417.83137248,32431432.462745026,64466743.71372542,77094077.88235296,122808596.92156866,222808277.61176455,199965524.42352936,175997802.4431374,165114930.47450978,100284914.20784289,64465754.97254895,55436892.47843126,42569815.92156874,52635132.43137267,72599683.31764695,98014051.44313732,192394372.8823532,199693509.0549026,206954959.05490187,213214649.25882325,192513299.83137172,134648789.5137258,69796695.86666684,46106850.3372548,36988790.36078428,35236418.309803925,83627370.26274484,119375579.7176469,167133182.91372514,184177311.1882358,177706028.4235296,174157252.49803942,193753013.00784355,109736494.94117628,76331551.71372533,51037703.04705875,40350012.29019602,52351990.65882348,79838753.63921556,90212975.00392184,158423106.96862766,167943576.97647053,179307723.61568707,11303
91984364.7999999,86029975.74901986,51695205.00000005,31498531.254901968,20471240.768627413,14389863.10980389,15108196.231372552,27749841.819607783,68800299.97254908,82211312.67450964,89540274.65490182,87945417.29019625,90665868.67058843,75785659.17647064,60810793.19215697,31328490.611764748,23179026.890196096,12958335.48627451,18085970.6392157,33904696.53725487,52122745.47058836,83957213.4784312,99191450.8666666,105031180.4196078,104108307.98431386,89371741.26666646,60818272.18823522,31115426.51764705,24456709.05882347,13072690.101960784,15207166.803921567,26429724.556862783,48609663.352941215,86990109.23137222,103420957.1254902,96739485.48627453,89734631.68627419,75902335.00000007,54736412.24313708,36809735.07843147,16313127.219607836,13017911.79607844,11030238.180392118,31811973.36470597,51824589.8117646,78756169.68235272,101141867.69411796,90172220.82745092,86004348.41568665,89526793.53333318,58750967.92156846,30850340.78823535,23089069.09411764,9911410.839215662,17706805.66274506,27909189.737254985,44852306.71372556,77491031.70980403,107104739.9529415,104556455.4196079,92266437.49411777,96608109.04313733,51885559.07843124,29159300.3294118,20295041.11764708,14437054.647058826,14292183.501960771,29063599.941176478,45418667.799999945,82322582.45098035,115175602.92549025,94850238.7686277,97819121.76078448,89899245.19215682,49121531.43529405,33182034.984313726,19860763.57254904,14588003.964705894,15633931.529411806,24213140.63529408,37651578.51372549,72078460.94509809,94052524.42745093,103450630.28627458,96531263.59215666,85217067.81176494,50452142.9411765,30519973.86666667,18829982.66274511,10468426.537254896,14971967.023529405,27188766.56078432,43689961.05490208,63480380.71764702,93707619.46274509,79037743.71372555,105145289.95686258,79841179.95294142,49362926.39999999,29127309.611764733,23727980.67058824,12651506.243137231,16890659.411764704,30534557.56078428,45530479.658823736,67308780.5647058,95020578.2784313,93673121.63137244,88386265.14901964,74515511.45882353,58336745.188235246,28075616.796078406,21386343.90196076,11801030.48235291,15288895.356862774,28678794.803921547,37757044.74117646,79775363.93725486,108586213.7019608,115672182.98431385,86942967.95686267,86061854.02352926,52405740.45882359,35892274.98823535,19774851.94901964,11629174.61960782,15352251.46666667,33437405.16862754,41841408.48235295,74301028.30196095,91775862.55686264,98295052.79215711,101968467.96470603,88768791.93333358,57624479.01568641,30988928.003921617,18576084.43921569,13232787.35686275,12674141.050980393,31580221.870588373,43723864.49411772,66899311.2588234,93825198.6666668,110574464.52548972,92778263.392157,104074840.96078426,46317016.39607839,32819340.16470589,20946441.870588243,12772086.368627427,13966445.325490152,30919059.478431284,44342972.28235297,70033288.91764697,89970010.52156843,94594063.14901967,93423190.39607836,83589116.74117664,60905727.5098037,34583354.53725487,19710563.862745117,10521484.125490185,12457265.184313724,31801786.02352935,54208374.44705889,69683923.28235291,96152824.43921582,86495914.98431389,90922022.06666654,73982806.35294129,48391829.901960775,36126434.1490195,22827890.176470578,12494303.635294136,16266299.949019656,24863925.490196157,47174917.21960785,81107778.89411774,79037713.56078434,87658775.17254919,120910577.67058824,75824867.16470592,55455788.26666665,37756884.98823526,18775447.01176467,9427839.003921552,13890555.823529411,33024908.925490204,47534813.73333329,88184962.07058816,97429031.00784288,125598162.06274532,121812148.3058824,86039832.82352939,53109964.89803932,37225598.141176455,25258819.87843131,9351217.32941176,17216121.69019608,31485356.8509805,52527716.30196074,78418808.3529412,94415357.29411782,106505868.5176468,88692780.38431372,89107546.79999994,64774771.58039217,38378365.23921564,19882271.686274502,13382522.043137277,13782404.419607842,26619439.380392224,39543362.37647052,77504174.59999986,98886914.22745098,96745686.14117646,86990673.9215689,72593976.92549022,56160046.68627453,27681402.82745098,19615757.352941208,12609327.274509797,17679176.443137247,26704968.25882356,54709066.698039085,95151606.94117618,103992479.11764713,77931159.86274506,103030920.50196098,85524145.40392175,50543781.44705872,30121570.513725445,20850223.192156933,11132045.55686276,12964149.26666666,31416701.07843145,48939987.90588229,84423101.22745109,103348584.8274509,95266263.18039216,92212576.77254888,89829442.63529411,47039056.57254901,33563079.90980399,16745075.329411753,13446183.396078462,17813765.450980384,30792503.705882374,47627338.67058812,65304601.81960769,84873178.69411775,92554844.27843145,12103
89587157.43529421,72723237.25098044,46174738.1960784,31921402.670588277,19030330.443137296,12903570.10980395,16309715.678431386,34767971.313725464,47127217.0862745,65129536.94117649,76914585.10196087,78227956.05490188,74336687.3254901,53132721.87843136,56154678.09019604,34008618.705882445,21373093.17254896,12522945.752941176,19349928.133333344,27774992.66666665,42801976.78431371,65596191.329411805,72455810.6431375,94752400.53725502,88980906.91372544,84372736.05490203,49295738.70196085,28468010.078431364,22399275.45882348,16720209.1607843,15467012.588235289,26720704.800000045,33149692.69411763,52736758.41568619,81015888.46666667,87865645.16862759,80017383.87450993,66279235.8392156,46123926.215686366,36366502.60392157,19139030.529411767,13499876.952941196,12628031.360784331,27024113.7215687,36006600.73333336,52232043.94117647,76986879.39607833,72446268.4509804,87983450.52156883,93339677.74117656,44429238.23529403,26965979.372549023,23959157.56862748,8606589.250980414,18350145.678431336,27786218.39607851,39628791.4235294,63294128.88627457,66819496.01176459,84443829.34901977,84718529.53333344,88372474.27450998,44561678.73333329,33215537.7529412,21643810.47058826,13670593.321568651,14299265.415686237,27534843.447058856,35192193.992156975,60368324.68627452,73942083.5098038,101065076.95686293,82876250.47058836,74362321.9960784,42623508.82745094,29760609.61176468,20941562.5058824,14155909.16862744,16690049.929411776,27056028.26274516,30475400.07843134,57324237.46666661,75140490.03529403,66053317.11764698,84267230.50588258,79762408.79607834,49366334.37254908,31402981.13725498,21746021.50588233,12374760.901960772,16956142.59607844,26836045.396078404,40965563.55294109,57107290.82745085,82707687.20392163,79024122.83921576,96536470.2862745,73146347.54117647,54939406.05882353,31639441.05098041,21503975.674509797,13098874.866666652,17851232.831372496,31016443.75686273,41418464.65098043,53007162.19215682,76683334.96078447,98681280.80392146,84663353.23529422,55694736.82352947,48545530.81568629,31376858.901960783,19255035.701960824,15216269.654902004,17446888.01176467,25751258.77647056,40802731.45882355,67211016.81176491,79372311.3529412,87728231.86274491,74362397.97647072,74586479.36862743,49465934.70588239,34117879.95294125,20111676.99607845,11230812.796078438,18062995.96078432,31545475.16470588,36906903.72156874,58550674.086274505,76200488.32156876,90023697.16078421,82915511.39215693,73568060.35294108,48236985.60392168,30067498.498039234,19923312.06666665,12789242.917647062,14435327.847058786,28843268.11372552,32663978.98431377,64014241.18823527,75057030.78823549,104715822.6156863,97121163.88235287,66356005.24313722,47138031.99215677,34246114.607843086,16596391.745098053,12524341.294117669,16967199.219607826,26386963.509803925,38311943.80392161,63767374.6588235,88496754.2705883,67377973.4313725,103352596.22745076,75537059.71764697,56222185.59215676,33038128.85490198,18907971.46666671,11006263.090196105,17809670.56078432,27689481.403921574,48619007.30196086,66903089.22745104,81977281.80784297,84574715.81960782,83031774.4156862,75637753.98039223,54114914.19215685,37886871.45490196,21526113.97254902,13357747.152941171,15828727.23137255,20967006.82352946,38168982.34117647,64496699.52549022,67792511.1411765,82966832.01960808,90001911.72156864,79946222.43529402,46128042.46274503,34224278.709804006,18014381.039215717,11885360.725490209,14249231.290196052,24911168.698039178,45412973.788235314,68182911.53725478,80166381.70588249,84150239.39215696,98804100.94117635,75478492.45882347,54591817.803921655,41430377.662745096,27645393.72941175,12403926.219607824,15668756.772548992,21716807.298039205,45031062.42745088,67109526.3960784,79755020.09803915,72637190.4235294,79819459.8588235,57808748.74901962,47866176.64313732,33327909.599999987,17641451.31372554,13318173.866666686,13168086.188235296,25252742.776470616,32791267.25882349,53659248.321568616,83427755.93725492,85242348.24705896,79229002.69803931,69169412.69803941,44602162.36078438,26367341.62745096,20073719.75294116,14985765.937254911,18699902.71764701,26124874.65882349,35147019.46274521,68321395.56078427,78044498.58039215,87014398.92156881,93308565.580392,78580734.80784307,54848739.639215656,27918281.752941143,17097254.21176473,13815183.509803928,14293843.301960768,27180668.407843143,44245656.38823522,66649999.1882353,72272894.36470589,73120965.61568634,75963977.63529395,79021714.5411764,44644017.84705887,28106435.027450956,18532531.086274557,13174412.631372524,16497962.38823531,28166300.647058837,36250352.8941177,64550053.83137261,72309590.07450971,74595005.13725491,11302
