200001_def,200002_def,200003_def,200004_def,200005_def,200006_def,200007_def,200008_def,200009_def,200010_def,200011_def,200012_def,200101_def,200102_def,200103_def,200104_def,200105_def,200106_def,200107_def,200108_def,200109_def,200110_def,200111_def,200112_def,200201_def,200202_def,200203_def,200204_def,200205_def,200206_def,200207_def,200208_def,200209_def,200210_def,200211_def,200212_def,200301_def,200302_def,200303_def,200304_def,200305_def,200306_def,200307_def,200308_def,200309_def,200310_def,200311_def,200312_def,200401_def,200402_def,200403_def,200404_def,200405_def,200406_def,200407_def,200408_def,200409_def,200410_def,200411_def,200412_def,200501_def,200502_def,200503_def,200504_def,200505_def,200506_def,200507_def,200508_def,200509_def,200510_def,200511_def,200512_def,200601_def,200602_def,200603_def,200604_def,200605_def,200606_def,200607_def,200608_def,200609_def,200610_def,200611_def,200612_def,200701_def,200702_def,200703_def,200704_def,200705_def,200706_def,200707_def,200708_def,200709_def,200710_def,200711_def,200712_def,200801_def,200802_def,200803_def,200804_def,200805_def,200806_def,200807_def,200808_def,200809_def,200810_def,200811_def,200812_def,200901_def,200902_def,200903_def,200904_def,200905_def,200906_def,200907_def,200908_def,200909_def,200910_def,200911_def,200912_def,201001_def,201002_def,201003_def,201004_def,201005_def,201006_def,201007_def,201008_def,201009_def,201010_def,201011_def,201012_def,201101_def,201102_def,201103_def,201104_def,201105_def,201106_def,201107_def,201108_def,201109_def,201110_def,201111_def,201112_def,201201_def,201202_def,201203_def,201204_def,201205_def,201206_def,201207_def,201208_def,201209_def,201210_def,201211_def,201212_def,201301_def,201302_def,201303_def,201304_def,201305_def,201306_def,201307_def,201308_def,201309_def,201310_def,201311_def,201312_def,201401_def,201402_def,201403_def,201404_def,201405_def,201406_def,201407_def,201408_def,201409_def,201410_def,201411_def,201412_def,201501_def,201502_def,201503_def,201504_def,201505_def,201506_def,201507_def,201508_def,201509_def,201510_def,201511_def,201512_def,201601_def,201602_def,201603_def,201604_def,201605_def,201606_def,201607_def,201608_def,201609_def,201610_def,201611_def,201612_def,201701_def,201702_def,201703_def,201704_def,201705_def,201706_def,201707_def,201708_def,201709_def,201710_def,201711_def,201712_def,201801_def,201802_def,201803_def,201804_def,201805_def,201806_def,201807_def,201808_def,201809_def,201810_def,201811_def,201812_def,201901_def,201902_def,201903_def,201904_def,201905_def,201906_def,201907_def,201908_def,201909_def,201910_def,201911_def,201912_def,202001_def,202002_def,202003_def,202004_def,202005_def,202006_def,202007_def,202008_def,202009_def,202010_def,202011_def,202012_def,COMUNA
15712907.5137255,10887463.494117651,113774.4901960784,1559943.5294117625,2185.666666666666,0.0,0.0,0.0,0.0,3593924.3686274467,10901962.752941169,7465543.811764707,10906236.27450982,8893687.647058848,9820169.478431368,3814901.882352945,0.0,0.0,0.0,0.0,3268.639215686276,8449541.831372544,15693148.517647067,19200377.10196077,22603585.015686303,16192482.403921572,2755907.2862745104,9885.23921568626,0.0,0.0,0.0,0.0,0.0,537577.1254901958,7046508.1764705805,16263338.745098015,12558441.866666649,12651885.992156874,4124120.7647058736,3521211.207843134,0.0,0.0,0.0,308354.23921568604,1881091.949019608,5361789.4470588295,12821935.34509804,6249080.215686284,19126805.945098054,11346739.035294091,10821359.874509806,1043447.1137254906,1490921.5450980412,0.0,0.0,0.0,1593941.2117647058,9552882.278431386,12258602.980392177,18038856.243137263,18925103.63529413,19782007.329411782,1554409.2196078447,29907.250980392157,0.0,0.0,0.0,0.0,1663019.3843137245,5690459.788235294,10955087.290196074,17010061.317647025,10202041.823529396,12166649.439215695,11117934.050980428,20831.458823529407,950857.4705882352,0.0,0.0,0.0,0.0,4836592.000000005,15777625.215686295,15133092.580392158,16005888.674509829,11914674.482352927,6126254.1725490205,42287.00784313728,0.0,0.0,0.0,1109.36862745098,599254.5921568631,6085697.65490196,14160032.996078454,11985853.945098013,23037309.58039216,10552595.388235273,8938014.976470584,138497.03137254913,2763.317647058824,0.0,0.0,0.0,27753.329411764716,6983032.705882343,12758273.027450994,21522111.76862745,20900169.03529415,10333615.305882366,11270119.28627451,0.0,0.0,0.0,0.0,0.0,1819141.874509802,11301510.407843126,11769739.29411767,23457329.670588203,13795044.219607843,10873328.8980392,12423719.513725515,6672159.815686271,2059811.2274509836,0.0,0.0,0.0,1075906.7333333322,7683412.560784309,16889772.55294116,20831035.945098106,14777542.988235325,11712116.04705884,12791970.776470596,8780.62745098039,480976.0705882357,0.0,0.0,0.0,24006.60392156864,6153878.321568628,16645527.34509802,22225444.611764725,20348460.309803963,15567006.494117608,305881.57254901994,3918180.6549019567,1113.023529411765,0.0,0.0,381186.4000000002,1029075.7686274508,10221750.74117647,17402246.984313775,8995167.733333344,22112468.372549035,12967300.815686274,2644858.094117644,4156816.74509804,0.0,0.0,0.0,0.0,1248572.792156862,10894278.796078434,15417312.635294128,8153352.541176459,18239887.262745067,10776594.152941156,7332649.858823537,4962688.599999993,1106209.1843137257,0.0,0.0,0.0,666747.1215686275,8521894.415686274,15958359.156862758,12654753.976470608,20924452.752941217,14680866.047058808,11486246.207843129,3156826.11372549,0.0,0.0,0.0,0.0,1539625.015686272,8422851.725490207,16884243.9098039,21052593.74509807,27879896.086274505,12824514.109803956,10835553.0235294,3520318.4941176483,2381614.811764702,0.0,0.0,0.0,4430694.713725489,13299706.286274487,16705115.07450979,11525914.407843111,16523845.76862746,8623789.74901961,6984630.709803925,1223242.8470588226,0.0,0.0,0.0,0.0,1558796.9607843182,4787792.294117649,12514892.88235295,14579629.4470588,17217929.152941186,18842680.592156906,8639408.054901946,2288.674509803922,0.0,0.0,0.0,0.0,145692.78039215686,5275390.125490194,17706861.43921569,21105342.00784315,22495986.792156857,12704201.796078468,4708156.725490188,0.0,37112.82352941175,0.0,0.0,352697.21568627475,2810781.91372549,12143710.474509856,9807399.611764705,15920523.925490163,18714626.95294115,17538785.000000004,10901101.85098038,7538480.643137255,0.0,0.0,0.0,0.0,1347980.121568626,7603935.847058833,16551173.850980408,18261427.192156862,12102
12849908.72156863,11426276.490196062,15221363.39607842,12462070.71764706,7937631.984313733,1031037.3058823536,599300.0862745101,4375548.184313726,11597953.054901956,15459852.682352928,17374969.854901955,18529294.53725487,12848432.11372548,4071720.364705885,14701676.156862736,12397436.870588217,7734938.478431373,1430399.788235294,2091569.0666666671,4514185.274509802,10988768.345098032,15453664.08235295,17472860.22745098,18082756.847058818,18145499.631372567,8553481.44705882,14652916.199999996,12270572.85490198,5976091.003921567,706073.2862745097,1499048.7725490192,4996062.713725497,12485891.552941171,15695407.741176467,19009523.85882351,20573992.431372557,15858536.50196078,13659213.490196075,14977930.898039198,13956926.847058816,9524655.356862746,2503982.9647058835,2182641.066666665,2150616.654901957,11729826.843137257,16552906.615686277,19413353.262745064,19884419.85882353,13293674.552941184,10902934.447058816,16029851.925490206,13144286.341176486,5316036.329411764,1004645.9137254906,1897606.3529411785,3915854.050980392,12553660.713725485,15960085.043137264,17891338.823529404,19946683.76078432,15477145.850980394,7242830.14509804,16383068.807843138,12352198.941176474,7668627.839215691,2043426.435294118,2564982.7843137267,4632973.6666666735,9380219.7372549,15020949.647058822,18711767.11372549,19056189.27058824,11759833.894117637,11815310.094117654,14861789.976470578,13532010.156862726,8463473.478431368,1044122.9411764704,3646937.098039216,4979698.701960792,12028482.43529412,16957883.921568625,19159415.972549014,20608495.768627446,14186669.79215686,12992930.623529406,15199439.556862732,13573825.917647077,6763452.109803916,1144623.356862745,587931.7882352943,1869373.2980392163,11254001.50196079,16564705.999999983,18237584.101960786,20545425.666666668,13449638.799999995,14320102.39607844,16156695.505882367,13127677.145098036,6200675.752941179,691493.2352941178,3686567.749019609,3577864.768627453,11400934.870588226,15714758.07843138,19052595.501960777,18986824.690196075,17007987.309803937,10017182.560784305,15435860.074509824,11222911.996078424,9240293.937254896,884641.3176470591,1568077.7686274506,4416744.223529409,11494508.450980373,16532572.298039204,18394923.521568622,19398944.85490196,16757465.505882343,9661743.525490193,16448259.580392169,10865714.290196082,7768191.847058825,1944488.4117647072,727730.8313725487,3662408.698039218,11911729.458823532,15310345.650980389,19074650.282352924,20311053.831372533,16352252.623529438,2452995.400000001,15844616.48627449,12286023.015686275,7032094.188235291,1906669.3411764712,1220450.3921568624,3236551.8470588275,10411259.976470578,16221118.074509803,17279673.698039215,17537187.376470592,10940628.258823534,5831933.482352933,13449866.909803936,12280171.015686272,5786251.392156855,2260529.5137254894,1726901.054901962,3845711.141176469,12048792.972549012,16188515.635294115,17717381.058823526,17779119.133333318,14366083.254901964,8001837.043137263,15799979.917647066,13669928.509803928,7684149.321568622,909591.6941176476,1766003.1647058828,2937722.6156862704,11298419.27058824,15105808.811764712,18377595.21960784,17750584.278431356,12527809.04705883,14300727.090196077,16681245.192156851,11390108.552941171,6098276.356862746,1559713.4666666682,1899992.023529412,4159290.705882356,11719061.552941184,15057987.615686292,17909702.70196079,18876870.67843139,15371609.18823529,8024414.470588237,11688861.898039203,9997238.717647055,5068993.8078431375,1621735.9999999986,2428058.8705882328,3444083.0470588226,11076686.37254902,15202826.690196052,17421687.721568603,19747887.76862747,22225347.631372534,8719410.847058827,20026117.380392164,15398513.643137258,13451022.584313732,6032791.74901961,6759954.980392154,8043159.607843135,16520871.88235296,19257892.72156864,20356331.709803928,21551412.10196079,13592431.23921568,10466440.584313724,14350771.662745109,14830242.42745098,10446571.741176471,1796970.6862745094,6791485.4117647065,6644918.047058822,15871630.435294123,19713065.713725504,20520325.52156864,20280602.098039243,14020962.396078452,9232244.799999991,15852794.274509797,14189228.666666672,9965599.752941176,1627309.8196078448,2278458.960784314,4560447.988235294,13673209.290196087,15948973.635294126,18039311.898039207,17776921.580392152,13337882.270588238,9610990.776470589,20427631.784313757,15790600.776470594,12300349.262745084,8965361.82745097,7890494.85882353,11302693.945098054,15349950.349019596,18529067.41960786,18154539.913725503,21827202.176470608,15156936.705882369,11063209.54509804,16227035.047058811,14098111.372549018,12195658.07058824,5696184.992156859,6789345.607843133,6985202.231372552,14366691.72156863,17893467.937254913,19746867.949019637,19583163.05490195,2202
8199829.678431372,7731892.670588237,0.0,760769.3882352934,0.0,0.0,0.0,486.0,0.0,3334142.407843129,3653488.1372549,461018.7333333332,2254493.22352941,2517675.211764707,6895601.988235289,1378878.37254902,0.0,0.0,0.0,0.0,44275.61960784314,8026123.584313711,13187596.850980388,23512545.039215688,27881294.376470584,16256740.866666686,4120101.698039209,0.0,0.0,0.0,0.0,0.0,0.0,808229.0509803917,5095856.470588234,8651801.274509812,5008212.858823535,16237103.321568632,1587200.4862745097,230951.30588235284,0.0,0.0,0.0,17350.05098039215,962188.7843137246,2416129.654901962,8249775.537254888,2152131.015686275,14589857.05490192,9833016.078431351,9302959.447058843,53813.1411764706,130193.47843137264,0.0,0.0,0.0,514892.8862745097,6751520.654901953,12058933.117647083,14802158.670588229,20022814.35686272,32714851.968627386,1189168.1490196076,0.0,0.0,0.0,0.0,0.0,594780.1254901959,2734472.4431372564,2457846.5725490195,9653135.780392157,5387709.635294121,6270451.454901964,11610896.250980392,0.0,33232.078431372545,0.0,0.0,0.0,0.0,4467817.047058832,12882000.9882353,16766113.48235291,16895095.003921576,4303690.043137259,818286.8392156867,0.0,0.0,0.0,0.0,810.0,0.0,4378948.631372549,7821056.17647058,7264821.160784307,27212665.435294066,8477245.674509812,1466302.1372549017,0.0,0.0,0.0,0.0,0.0,681807.4705882357,7221617.196078428,6107485.56862745,18424577.1960784,22304464.411764707,8891371.658823537,5201304.215686269,0.0,0.0,0.0,0.0,0.0,1371596.799999999,6801280.474509788,9442101.176470594,27747790.78039211,6251074.607843136,6319468.090196075,11609701.113725465,2261885.9019607846,30151.572549019613,0.0,0.0,0.0,1063096.1058823518,7798870.427450991,21677422.61568627,14261715.57254902,7522116.33333333,16454649.701960824,16235236.443137243,0.0,0.0,0.0,0.0,0.0,102786.32941176472,6909732.274509811,17518971.584313683,24980120.41960788,23476883.101960804,16191018.30980394,0.0,26948.67058823529,0.0,0.0,0.0,345113.6745098041,90642.15686274506,6451242.207843142,14728133.662745085,4067107.823529413,18447175.43529412,7640698.64313726,1584057.0705882364,3178360.2352941176,0.0,0.0,6435.0,0.0,1057242.9490196088,8870518.149019588,5687879.592156864,7489655.772549024,11988145.75294118,8400882.309803916,72916.14901960785,1539998.3215686271,0.0,0.0,0.0,0.0,98339.33333333336,6430800.050980393,12359977.788235284,11516388.956862727,25644983.32941167,10331980.71372549,7016648.850980381,826728.2588235296,0.0,0.0,0.0,0.0,145491.73725490196,5140894.32941177,11236804.564705882,21953801.61176472,34345323.69019616,9977592.062745104,6190333.541176476,89497.2196078431,2374146.3058823543,0.0,0.0,0.0,4912855.55686274,9965553.400000004,11148682.92941177,13640259.00000005,12225219.37647059,5654264.650980382,2905164.9019607864,0.0,0.0,0.0,243.0,0.0,370066.9450980392,5470241.145098036,10444417.4901961,11813102.3843137,19194491.70588229,25366535.48627445,8048144.901960799,0.0,0.0,0.0,0.0,0.0,33415.909803921575,3541865.666666671,16432944.027450966,25697952.768627435,19181983.466666684,15491612.34901964,213094.34901960785,0.0,0.0,0.0,0.0,403.8588235294118,1501317.6313725486,7232300.588235291,13179676.505882364,11032690.745098066,16393868.568627443,14072379.101960784,3475749.5647058813,7175095.380392151,9630.411764705885,0.0,0.0,0.0,495319.3176470592,4111159.3568627457,15061837.709803935,14974320.074509822,12303
6676099.513725482,339504.24705882336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218083.8352941177,0.0,41869.78039215688,10.654901960784317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531965.7019607797,5138817.03137254,7417140.003921565,305514.0313725492,2047250.6039215715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154891.5137254901,560226.8078431367,3148290.870588238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67692.7137254902,330658.4313725491,3001175.082352944,3109408.54509804,2538893.1568627423,0.0,0.0,0.0,0.0,0.0,379854.807843137,519004.5764705882,0.0,1063079.278431372,9734354.976470582,108266.42745098038,0.0,0.0,0.0,0.0,0.0,0.0,4340949.635294126,0.0,0.0,11420882.81960785,209201.18431372548,2248834.094117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46329.11764705884,462635.9568627451,3093405.4901960804,1563511.4666666652,3878946.117647055,0.0,0.0,0.0,0.0,0.0,0.0,141751.11372549017,9580071.376470592,27143880.949019626,27134135.27058828,7702573.219607842,4151586.482352948,0.0,0.0,0.0,0.0,0.0,78287.59999999996,498365.28627450985,145600.00784313725,83635980.61176501,519894.2000000003,0.0,94909.26274509808,0.0,0.0,0.0,0.0,0.0,611152.6745098038,0.0,0.0,1158657.294117647,0.0,0.0,2347278.141176467,3818.729411764706,0.0,0.0,0.0,0.0,335836.31372548995,204680.72549019597,75814.13333333333,1607089.9882352934,745723.9215686277,0.0,0.0,0.0,2.458823529411765,0.0,0.0,0.0,0.0,0.0,130083.32549019608,58353576.35294101,126263.5098039216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073545.3921568636,795.5529411764707,0.0,0.0,7741766.768627461,677859.9019607843,71155.44313725492,1662617.996078432,0.0,0.0,0.0,0.0,0.0,10831467.690196082,439923.8627450982,23695603.219607744,1338252.5058823528,12740558.843137257,2118764.231372551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383822.200000001,11351388.396078425,9863370.47450981,0.0,0.0,0.0,0.0,0.0,0.0,1492677.0549019603,18680938.24313727,3697684.203921572,23364917.84705889,38359444.98823527,0.0,39976.9450980392,0.0,1997962.384313723,0.0,0.0,0.0,126097.76078431364,119036.90980392163,5793.933333333335,0.0,13.270588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213832.6627450995,47967.360784313736,5599606.921568628,9159831.674509812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8514614.062745094,261645.99215686272,498864.6588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58150.34901960784,0.0,8632.466666666667,515268.4823529413,21979.780392156863,1343.823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155494.4588235294,821474.7411764709,11303
4409672.31764706,3898911.9372549024,0.0,15740.552941176464,0.0,0.0,0.0,0.0,0.0,680476.6901960783,2197517.7921568654,407877.4666666664,1170746.5333333318,757515.2627450976,1392526.1607843144,535892.4745098038,0.0,0.0,0.0,0.0,0.0,3926500.090196079,6254675.607843133,7602470.627450975,19705780.03921567,7516322.576470593,183229.80392156847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124826.9490196074,3689330.4117647056,2215310.227450981,4494637.674509803,134519.6117647057,591372.317647059,0.0,0.0,0.0,109344.61568627442,299158.4666666666,328671.83137254894,3525586.2470588274,526822.28627451,5763301.964705883,2540228.5529411766,3451024.2549019605,0.0,202722.4313725489,0.0,0.0,0.0,141264.42352941187,2996358.784313728,3007497.035294116,7230380.999999998,9303266.564705878,15844421.6117647,0.0,0.0,0.0,0.0,0.0,0.0,600579.3137254905,675897.909803922,2042348.070588236,7668598.415686274,1276503.1058823525,3241958.8980392152,3537596.349019607,0.0,24584.003921568637,0.0,0.0,0.0,0.0,795972.0431372556,6082236.211764703,3642688.8549019606,5784851.796078427,2802758.9647058817,383972.6941176472,0.0,0.0,0.0,0.0,0.0,6039.043137254904,1072277.325490198,4588322.89411765,1981596.486274512,14804781.192156844,1828341.1215686267,2685380.2470588232,0.0,0.0,0.0,0.0,0.0,9345.247058823526,2250187.270588234,2278941.11764706,9979524.988235302,11358364.831372555,2246897.8,4042628.466666672,0.0,0.0,0.0,0.0,0.0,474984.90588235296,4163835.235294116,2826945.5921568624,17656859.18039214,3025514.976470588,3357350.756862742,6437275.105882346,2179917.4549019607,191368.0549019608,0.0,0.0,0.0,274866.47450980416,1806103.1490196085,8349426.317647034,11926583.701960776,4425628.780392157,3085376.529411768,6736241.466666661,0.0,0.0,0.0,0.0,0.0,96.87058823529412,1946976.2588235307,6685433.968627464,13969384.8,11346829.635294111,9738579.341176476,0.0,446716.8941176467,0.0,0.0,0.0,358285.85490196105,6607.003921568631,5019835.513725498,7162573.97254901,2093585.6470588243,10956463.24705883,4526706.243137255,1059.4431372549027,393047.9411764704,0.0,0.0,0.0,0.0,387559.66666666645,4885297.68627451,4609394.2745098015,1186372.066666668,7984756.75686275,2792379.517647061,1153714.7137254905,1277852.2039215676,16313.505882352938,0.0,0.0,0.0,14810.39215686275,3477965.4431372574,5811424.905882355,3641474.639215685,12243449.207843143,6288963.960784316,4085447.239215684,219497.8274509803,0.0,0.0,0.0,0.0,690591.2941176473,2469470.0078431363,6944519.125490197,14043297.109803956,20751424.188235316,3013813.031372546,2022365.152941176,419687.05098039226,1673798.658823529,0.0,0.0,0.0,1950817.721568628,4469791.717647061,4549808.827450977,3796732.431372548,4937802.5686274525,2502142.3529411773,3104843.905882349,152.3137254901961,0.0,0.0,0.0,0.0,47451.85490196079,511240.0549019613,2933528.7176470584,2862374.988235294,5396282.30588235,9920503.184313731,2244575.858823528,0.0,0.0,0.0,0.0,0.0,0.0,1582035.168627451,8687764.850980384,11069717.105882345,9202489.325490206,4166358.54117647,466400.25490196096,0.0,0.0,0.0,0.0,12719.478431372549,417521.7921568625,3013207.000000001,1985698.57254902,2694918.305882353,7397051.894117648,5040657.501960785,2306411.086274512,2490107.380392157,0.0,0.0,0.0,0.0,119322.8235294118,865412.3490196082,3956346.192156865,5349560.341176468,12103
37232167.43921569,14597473.415686265,57326.30588235295,0.0,48425.09803921571,0.0,0.0,117068.69411764706,0.0,1174409.9960784323,9141280.792156862,10390513.01568626,15609423.67450981,11000258.266666649,796089.6666666659,1014036.2039215683,0.0,0.0,0.0,0.0,402224.3098039215,6549794.352941178,18331015.662745096,30777472.498039138,21996145.76862745,24507873.26666664,0.0,1845.9882352941177,0.0,0.0,0.0,0.0,0.0,24186.34509803921,525588.1176470586,9041651.082352929,18721697.741176475,18166886.46666664,164474.30980392153,61953.2,0.0,0.0,182783.274509804,0.0,110958.61176470589,498384.6156862744,6349146.239215687,11690659.760784317,24446704.00784313,10116589.976470588,17154451.145097997,3443.901960784314,316468.5215686275,0.0,0.0,0.0,2417461.929411768,7217248.984313725,131738.81568627458,14470913.95686276,30462796.729411755,9314781.686274502,200891.50588235303,0.0,0.0,0.0,141.59607843137255,0.0,1745815.6549019597,807972.5411764709,1976860.992156864,15268417.803921562,15184921.745098034,17513641.84313725,2765214.725490197,0.0,12705.980392156864,0.0,0.0,0.0,35.9529411764706,579930.0352941169,6344555.207843144,13854659.462745097,18506751.94117648,15791160.423529424,20001170.345098067,574.8392156862744,118976.16078431367,1153.2784313725497,113.98823529411764,1841.7137254901963,674784.0901960781,5755246.7725490285,17818202.74509803,33259509.333333317,39276669.91764701,24257499.41960783,17509739.399999976,0.0,0.0,0.0,0.0,0.0,336784.16862745106,4301603.670588237,10319217.219607856,40629192.29019608,17893630.6509804,627078.4196078429,10153843.156862726,0.0,99564.23529411764,19867.80784313724,260734.98039215707,0.0,2516392.313725489,1993281.7960784328,3532197.701960783,16447450.890196104,9978666.960784316,3357745.7764705904,14012083.188235294,5993428.454901957,416128.5607843136,0.0,0.0,0.0,1176668.0431372544,4274622.615686271,8415141.290196076,22947600.674509797,20684079.89803921,5147596.874509802,1902669.827450981,0.0,1056801.200000001,0.0,0.0,0.0,534482.2980392154,1389235.7333333334,7779724.027450978,37071982.31372552,16900644.25098041,1874796.8549019608,205778.3843137256,2264736.278431373,0.0,0.0,40009.40784313725,30524.654901960814,2109596.1803921573,4079295.356862744,5459059.509803921,3410095.078431373,27698296.537254903,15324367.929411756,5861597.7372549,12795761.423529388,0.0,0.0,0.0,0.0,24264.4862745098,5194726.329411764,10475514.9882353,25197637.86666666,22056613.713725496,24681335.51372546,9830860.949019607,459358.6392156865,0.0,0.0,13661.349019607836,0.0,32857.05098039216,2337044.078431373,5137636.682352947,13867998.83529412,27479211.560784303,24263942.200000003,12646.258823529412,276439.02745098027,0.0,0.0,0.0,0.0,2200577.9333333345,5949543.16470588,15289152.9490196,27751285.74509804,44854865.76470599,8433726.70196079,10920318.705882346,1345325.2431372548,2175080.68627451,176363.2784313726,28516.0862745098,0.0,2344535.125490197,7145686.278431371,8564551.776470577,9494220.35686274,12526326.384313729,2682395.027450981,921351.5647058816,0.0,0.0,0.0,0.0,0.0,244477.22745098048,1363290.9568627456,9503402.643137263,12404815.635294115,27120089.850980345,27612724.4745098,2774847.756862745,0.0,35301.53333333336,0.0,0.0,5234.019607843135,23029.97254901962,1927662.419607842,4007327.313725488,24750287.91764707,18543089.341176447,16698494.643137235,6655742.341176479,0.0,0.0,0.0,0.0,0.0,490760.6156862743,4214756.105882353,827822.8039215683,8053427.286274502,19835136.576470543,10857415.75294117,7226571.019607844,1745806.8235294116,590.3607843137255,0.0,0.0,0.0,99597.74509803916,1856301.490196078,8685226.91372548,19939463.513725508,11302
0.0,1176031.5058823538,3313078.9803921604,8161764.121568623,6342735.294117645,3033765.5333333337,3652543.01960784,5936522.266666677,9382547.380392171,10559438.949019616,12016554.964705858,8965716.941176467,168189.1490196079,0.0,896542.5137254898,5049173.584313721,5550004.325490196,3425002.207843138,3779892.768627451,5272439.207843129,8354003.627450985,10658404.023529395,11265434.423529409,8804392.054901967,8881224.59215686,0.0,438518.6313725489,5143492.980392149,5698686.537254898,3188376.411764703,3126850.913725492,5405670.058823531,8551445.20000001,10030199.749019597,9889953.19999999,10133702.792156871,6687499.3568627415,4911101.572549019,3793412.6901960783,8619936.93333333,6184383.564705887,2774371.039215689,4029648.67843137,4586115.501960789,7938433.564705875,11372429.003921574,11907126.152941182,9733843.670588234,2090960.4156862732,1964911.941176472,8408536.223529404,9334306.01176473,6757734.325490193,3344079.47843137,3438031.478431375,5775522.36078431,8824886.721568631,11813220.356862748,12563399.239215689,9647047.764705876,7026425.329411769,11886.627450980392,7479667.121568624,8764634.81176471,6907776.4627451,3095740.811764704,3430015.0745098004,6358780.643137251,6619345.211764708,10501345.980392149,10550397.05490194,6459968.211764715,2101193.9607843123,2348310.658823533,2331602.2823529425,8396859.662745096,6800709.556862742,4002888.329411765,5061172.713725494,5497239.423529414,8694083.184313733,11336210.015686268,9837505.13725491,10424156.592156872,5355603.717647064,4861503.952941172,1977281.79215686,8545953.803921564,5717767.1215686295,2746779.650980391,2640676.4000000027,4672901.925490193,7759335.866666668,10244853.215686264,10745796.349019594,10991634.76470588,0.0,5038564.011764701,7128130.862745098,8602007.388235295,4466492.145098045,2841430.5019607823,3239868.10980392,5267739.9294117605,8807122.666666662,11460652.956862738,12709997.741176484,8129705.313725486,10504462.749019606,2862156.572549017,7082772.270588235,8435780.39607844,6744893.529411767,3698377.6431372506,4326684.9019607855,5422298.243137256,8818425.494117636,11589740.898039214,8693366.768627452,9763363.450980395,7980962.415686275,4911749.788235299,9471750.560784314,8923778.301960785,6842261.74509804,3717265.564705885,2795114.8627451006,4694805.399999999,8684110.078431373,10726507.682352947,12499865.486274503,8683647.674509807,0.0,0.0,4755667.59215686,7911262.345098042,5800172.905882352,4591839.823529412,4143353.274509807,5232979.772549019,8046350.819607845,10966135.33333333,11449753.6745098,916595.035294117,261377.5098039216,1440752.6156862748,4312882.239215687,7024032.96862745,6026127.701960798,3664233.337254902,4034668.4196078447,5262334.227450975,8941182.780392155,11304039.71764705,12079576.55686276,5022747.403921569,5381620.843137246,3781094.713725485,5788973.67058823,9138891.807843126,6159843.149019603,2732190.8039215687,3686731.599999999,4755553.388235296,8712897.24705882,11047665.309803914,11396890.129411768,5854516.321568632,4993125.141176464,9136747.835294116,9277853.77647059,8219654.439215681,6739548.549019604,4687172.086274514,4265317.407843143,6152823.890196072,8723636.52941176,10430399.909803923,9097822.75686274,9540392.929411763,6316329.447058824,1969662.105882354,2993965.3058823533,8316973.36470589,6896420.952941182,5023218.509803921,5054006.192156859,5999943.250980394,10029792.466666672,11091719.498039205,11284598.298039218,12407889.090196066,8758352.039215695,3638.725490196079,10785223.478431376,8705357.992156858,9126479.48235294,6355291.95294117,6775658.192156867,8323251.39215686,10605464.117647074,11882489.298039192,11758851.211764725,8592420.203921573,0.0,54803.96078431373,1440748.784313723,7330437.862745102,6518524.023529414,4780870.098039215,5850409.839215689,7404663.717647055,9585743.53725492,12503551.717647046,11524781.129411776,7615210.141176474,6037942.156862738,1474519.882352942,3792771.0156862703,8903884.890196087,6666476.866666665,3321357.066666663,4398180.411764704,5380125.427450988,8993971.921568625,9371739.152941182,9485694.670588236,3495688.34901961,1743618.6352941168,150497.6784313726,7616403.137254899,9749609.55686274,9624740.054901944,7403340.831372545,7059982.447058824,8928291.27843138,8990209.105882363,11797749.537254902,9254127.75686274,10622017.498039216,3961143.152941173,245906.6901960783,5020286.058823533,9302218.949019603,8191808.568627447,6654600.650980397,6580482.760784314,8574402.368627444,9902365.074509809,10541684.84313726,12084739.152941192,6144268.1725490205,15202
