200001_soil,200002_soil,200003_soil,200004_soil,200005_soil,200006_soil,200007_soil,200008_soil,200009_soil,200010_soil,200011_soil,200012_soil,200101_soil,200102_soil,200103_soil,200104_soil,200105_soil,200106_soil,200107_soil,200108_soil,200109_soil,200110_soil,200111_soil,200112_soil,200201_soil,200202_soil,200203_soil,200204_soil,200205_soil,200206_soil,200207_soil,200208_soil,200209_soil,200210_soil,200211_soil,200212_soil,200301_soil,200302_soil,200303_soil,200304_soil,200305_soil,200306_soil,200307_soil,200308_soil,200309_soil,200310_soil,200311_soil,200312_soil,200401_soil,200402_soil,200403_soil,200404_soil,200405_soil,200406_soil,200407_soil,200408_soil,200409_soil,200410_soil,200411_soil,200412_soil,200501_soil,200502_soil,200503_soil,200504_soil,200505_soil,200506_soil,200507_soil,200508_soil,200509_soil,200510_soil,200511_soil,200512_soil,200601_soil,200602_soil,200603_soil,200604_soil,200605_soil,200606_soil,200607_soil,200608_soil,200609_soil,200610_soil,200611_soil,200612_soil,200701_soil,200702_soil,200703_soil,200704_soil,200705_soil,200706_soil,200707_soil,200708_soil,200709_soil,200710_soil,200711_soil,200712_soil,200801_soil,200802_soil,200803_soil,200804_soil,200805_soil,200806_soil,200807_soil,200808_soil,200809_soil,200810_soil,200811_soil,200812_soil,200901_soil,200902_soil,200903_soil,200904_soil,200905_soil,200906_soil,200907_soil,200908_soil,200909_soil,200910_soil,200911_soil,200912_soil,201001_soil,201002_soil,201003_soil,201004_soil,201005_soil,201006_soil,201007_soil,201008_soil,201009_soil,201010_soil,201011_soil,201012_soil,201101_soil,201102_soil,201103_soil,201104_soil,201105_soil,201106_soil,201107_soil,201108_soil,201109_soil,201110_soil,201111_soil,201112_soil,201201_soil,201202_soil,201203_soil,201204_soil,201205_soil,201206_soil,201207_soil,201208_soil,201209_soil,201210_soil,201211_soil,201212_soil,201301_soil,201302_soil,201303_soil,201304_soil,201305_soil,201306_soil,201307_soil,201308_soil,201309_soil,201310_soil,201311_soil,201312_soil,201401_soil,201402_soil,201403_soil,201404_soil,201405_soil,201406_soil,201407_soil,201408_soil,201409_soil,201410_soil,201411_soil,201412_soil,201501_soil,201502_soil,201503_soil,201504_soil,201505_soil,201506_soil,201507_soil,201508_soil,201509_soil,201510_soil,201511_soil,201512_soil,201601_soil,201602_soil,201603_soil,201604_soil,201605_soil,201606_soil,201607_soil,201608_soil,201609_soil,201610_soil,201611_soil,201612_soil,201701_soil,201702_soil,201703_soil,201704_soil,201705_soil,201706_soil,201707_soil,201708_soil,201709_soil,201710_soil,201711_soil,201712_soil,201801_soil,201802_soil,201803_soil,201804_soil,201805_soil,201806_soil,201807_soil,201808_soil,201809_soil,201810_soil,201811_soil,201812_soil,201901_soil,201902_soil,201903_soil,201904_soil,201905_soil,201906_soil,201907_soil,201908_soil,201909_soil,201910_soil,201911_soil,201912_soil,202001_soil,202002_soil,202003_soil,202004_soil,202005_soil,202006_soil,202007_soil,202008_soil,202009_soil,202010_soil,202011_soil,202012_soil,COMUNA
1787513.7176470617,1507804.270588237,3756543.40392157,3379477.537254908,4784850.00784313,8751495.062745098,10110057.45098038,10540784.52156862,10542338.027450971,6604030.956862731,3731231.1098039215,2861402.741176471,2205703.0588235315,1796792.0156862738,1502907.133333332,1311575.7568627447,5721096.968627445,9741158.141176458,9926873.913725492,10525226.407843135,10536566.76078432,4409895.811764708,2873536.2588235303,2183056.258823528,1773161.4745098045,1498311.1372549026,1333482.407843138,3222507.584313726,5195908.380392156,6739977.83137256,9767134.643137245,10511083.019607829,10542338.027450971,9625424.286274515,5188264.172549027,3090239.490196076,2297779.1333333324,1843571.3098039187,1589600.564705882,1374038.0196078448,7160756.439215694,10040771.976470567,10542338.027450971,10012599.203921562,7382303.964705871,5128477.415686276,3087689.352941173,2491513.5803921567,1926544.9568627449,1592156.772549021,1363341.5999999992,1694832.8078431364,1543993.17647059,10129100.968627434,10516114.294117635,10542338.027450971,8018507.478431378,4133064.65490195,2772838.572549016,2116265.200000003,1726969.4392156831,1463924.4549019595,1790691.3058823554,5481213.603921566,9472452.325490192,9889527.882352931,10542338.027450971,10542338.027450971,7778661.341176471,5064130.474509797,3173410.388235301,2298695.941176469,1893688.5019607844,1569451.121568628,1347387.3450980382,5670627.713725497,5198035.219607844,9834617.517647045,10530039.101960778,10542338.027450971,10542338.027450971,5775763.854901965,3255649.541176465,2375184.372549016,1891866.2588235307,1579763.207843138,1362493.2078431372,5234415.24313725,7372884.458823532,10532995.129411755,10540213.18039215,10540410.4117647,9510879.113725483,5358159.450980394,3151455.1921568657,2326480.2666666624,1860274.0549019608,1556771.6156862748,1342483.50980392,3248878.3686274537,4617461.019607842,7390319.858823537,10515813.09019607,10542338.027450971,10494615.40392156,4851996.439215686,3058142.725490199,2273499.7843137207,1827932.0470588256,1535738.1686274512,1326568.2941176463,7442550.698039216,9195978.117647048,10517549.145098034,10542338.027450971,10542338.027450971,7638362.427450972,3848869.239215693,2671348.890196076,2058998.4745098036,1689888.0470588244,1437693.976470586,1252999.258823529,1112033.48627451,1013466.8117647048,5784020.105882361,8627388.537254902,10428359.301960774,8683463.62745097,4631504.854901962,2915848.007843136,2199688.7490196098,1782002.1137254897,1503570.1568627455,1303296.9098039218,5191931.639215689,5172455.701960778,10124824.929411745,10538615.898039209,10542338.027450971,10500861.149019616,5130417.070588239,3084798.776470589,2292441.239215683,1841686.8705882344,1545562.4549019628,3861978.141176465,3014763.1294117635,4129728.443137256,6994095.78039215,9714690.454901962,9478780.274509825,8071770.337254918,3967885.411764703,2691215.654901958,2080990.4862745083,1706197.6117647071,1450268.2509803928,1425115.799999999,1254433.5921568635,3337317.6705882377,10131729.074509786,10444165.658823516,10536689.83921567,8396605.431372533,4009795.8352941168,2716977.996078431,2120012.568627445,1729210.3137254915,1466974.2039215723,1275676.2313725478,1130040.7725490204,1063107.9098039214,8654319.807843134,10214310.674509786,10542338.027450971,9395181.54509805,4446891.698039208,2876720.203921575,2182561.4901960786,1772519.9999999984,1496787.819607845,1298268.17254902,1155485.3607843122,7681966.039215683,10542338.027450971,10542338.027450971,10542338.027450971,7989572.764705891,4342122.972549028,2804705.7058823537,2133414.71764706,1737921.7411764725,1471647.086274512,1278445.760784312,1137970.9294117645,1021596.5019607848,6498090.552941177,8976909.549019594,10394776.403921552,5460712.486274523,3205460.858823531,2352350.972549016,1878625.1058823536,1570659.9647058845,1351824.882352939,1188482.149019607,1197258.9372549013,7305281.780392169,9190901.066666652,10490136.20392154,10542338.027450971,8106835.478431375,5548050.199999995,3225460.8352941163,2343859.08627451,1956173.0509803907,1616371.5294117632,1382851.8235294125,5334667.803921572,10265559.576470578,10542338.027450971,10542338.027450971,10542338.027450971,10292570.623529412,5420242.627450983,3155201.3999999976,2328917.968627446,1864416.4470588253,1560736.3490196106,1350468.1882352934,8776036.003921561,9308098.537254889,10515778.654901942,10542338.027450971,9935111.525490196,6670382.643137263,3564525.235294118,2549661.137254898,1989299.980392155,1643204.705882355,1404172.6549019588,1228488.3882352938,1092726.2470588237,3907308.8549019634,8042668.145098038,8265363.599999995,10399608.462745083,8300882.925490195,4786222.623529413,2943157.34117647,2208632.2000000007,12102
4801.423529411767,6006.913725490198,6006.913725490198,6006.913725490198,6006.913725490198,6006.913725490198,5925.913725490198,5925.913725490198,5925.913725490198,5974.133333333336,5884.133333333336,4775.082352941178,4292.886274509803,46742.98039215684,28974.67058823532,23840.67450980394,23598.02745098041,23598.02745098041,23598.02745098041,23517.02745098041,22851.76470588237,20436.26274509806,18617.662745098045,13010.505882352936,11268.482352941168,15705.6862745098,15163.745098039206,14725.00392156862,14230.25098039215,14230.25098039215,14230.25098039215,14230.25098039215,13939.05098039215,13614.890196078424,13382.399999999992,8408.858823529414,7520.752941176473,6868.3058823529445,6477.835294117651,6308.756862745103,6169.980392156865,6169.980392156865,6169.980392156865,6169.980392156865,6015.86274509804,5765.78431372549,5515.8627450980375,5247.690196078432,5046.313725490198,10012.933333333323,7484.878431372553,6790.980392156864,6790.980392156864,6790.980392156864,6790.980392156864,6790.980392156864,6690.717647058825,6482.41960784314,5566.317647058823,5028.592156862746,4649.274509803923,10628.505882352936,10613.243137254896,10431.01960784313,10319.16078431372,10319.16078431372,10319.16078431372,10319.16078431372,10319.16078431372,10195.64705882352,8287.886274509805,5389.074509803924,4587.807843137257,4097.611764705881,3766.5137254901942,3574.7725490196067,3574.7725490196067,3574.7725490196067,3566.0745098039206,3566.0745098039206,3545.850980392156,3345.878431372548,3201.2196078431366,3014.047058823529,2965.827450980392,2869.388235294118,2740.1686274509807,2691.949019607844,2691.949019607844,2691.949019607844,2691.949019607844,2691.949019607844,2610.949019607844,2610.949019607844,2532.18431372549,2430.109803921568,2430.109803921568,2335.7490196078425,2206.529411764705,2206.529411764705,2206.529411764705,2206.529411764705,2206.529411764705,2206.529411764705,2191.266666666666,2191.266666666666,2143.0470588235285,2122.8235294117644,2122.8235294117644,2091.9647058823525,2001.2313725490196,2001.2313725490196,1920.2313725490196,1920.2313725490196,1920.2313725490196,1920.2313725490196,1920.2313725490196,1920.2313725490196,1872.011764705882,1872.011764705882,1872.011764705882,1872.011764705882,1819.8745098039208,1819.8745098039208,1739.8352941176468,1739.8352941176468,1739.8352941176468,1739.8352941176468,1739.8352941176468,1738.1372549019604,1698.725490196078,1698.725490196078,1635.1607843137251,126459.58823529413,61558.66666666671,47005.29019607846,43380.149019607874,42966.88627450984,42808.321568627485,42423.26274509807,39223.419607843134,34761.53725490198,30786.52941176472,28002.392156862752,25850.67843137253,24061.55294117647,22836.717647058835,21616.00392156862,20920.215686274525,20918.866666666683,20850.30196078433,20712.00392156864,19713.44705882353,19274.901960784307,18118.333333333336,13295.74509803922,12881.19215686274,16902.92156862744,16267.227450980386,16103.14901960784,15781.34509803921,15671.658823529406,15670.309803921564,15601.745098039211,15019.047058823531,14777.066666666671,14611.352941176474,9688.89411764706,8718.556862745098,8014.156862745097,7533.000000000005,7331.2980392156915,7331.2980392156915,7331.2980392156915,7241.298039215691,7080.258823529416,6753.564705882356,6722.705882352945,6505.498039215692,6124.63921568628,5758.200000000004,9408.59607843137,7878.3137254901985,6865.701960784315,6753.843137254904,6753.843137254904,6673.803921568629,6673.803921568629,6387.427450980395,6335.290196078435,6004.192156862748,5612.800000000003,5290.701960784318,4975.043137254906,4878.60392156863,4754.588235294121,4613.294117647064,4523.294117647063,6308.423529411768,6347.321568627453,6128.831372549023,5930.011764705886,5849.011764705886,5682.231372549022,5553.972549019611,5301.972549019611,5169.815686274513,5165.89803921569,5132.6313725490245,5132.6313725490245,5132.6313725490245,5132.6313725490245,5075.839215686277,5042.196078431376,4993.976470588239,4903.97647058824,2475.454901960785,2369.458823529413,2369.458823529413,2369.458823529413,2318.3764705882368,2228.376470588236,2228.376470588236,2228.376470588236,2228.376470588236,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2217.686274509805,2202
35997850.36862745,34854685.788235195,47638929.91764697,48256208.32549013,57036595.69411757,62791289.07450972,64887605.81568619,64962861.33725479,64963671.33725479,59234921.10196066,55201258.850980245,58002385.78823519,56535278.01568614,55273092.9058822,50074159.27058806,50620278.89411754,59366732.76470575,62386964.50196065,63233337.20392145,64764933.04705872,64785215.44705872,51142264.59999995,41215814.18431358,33638735.57647038,27672307.56078429,27202753.92941173,27343907.1686274,45944646.78431352,55265589.31764708,59044594.55686262,63958983.29803914,64963671.33725479,64963671.33725479,63576996.921568535,55677902.84705873,48455899.18431368,47327955.66666668,39155580.619607806,41990630.45882348,45301185.709803976,57405737.70196067,63713129.419607766,64963671.33725479,64933762.3019607,63286347.59215677,59682150.48627433,49988747.14117631,51540379.2784313,43602692.55686266,40976911.31372544,38147148.30980396,44224510.14509804,45508468.98431376,62392868.62352933,64010325.14117637,64685493.90196067,63836414.14901953,52961510.90196064,43299126.37254892,38260226.10588234,33429655.27450975,25823138.81568624,34718606.694117546,49875273.3450979,61718451.03529397,62503023.78823523,64926420.015686125,64963671.33725479,63941123.49803914,59613888.85882341,57107622.95294103,48036367.17647046,47206718.73333325,45190051.2235294,40037946.01176456,56825681.76470578,57793950.02745089,62900807.172548935,64934836.94117634,64963671.33725479,64963671.33725479,57288232.61568631,43719559.11764695,37352285.97254898,33332652.85098028,36589857.73725491,41069494.2196078,56094794.61960773,61897256.37254886,64823704.71764696,64960393.61960774,64960043.40392145,64963671.33725479,57440228.05490185,48786548.66274504,45347922.7333333,32641899.90196088,35022601.95686261,37119428.95686271,50785181.52549013,54152002.0117646,58798958.71372542,64917177.11764696,64963671.33725479,63792213.1294117,52121397.90196061,48432294.06666657,40230004.93725479,33792984.7960783,33397282.65882345,33617501.803921446,59568927.27450966,64222265.92156851,64961130.799999885,64963671.33725479,64963671.33725479,62606510.67450976,52497081.81176453,45527002.76862738,33188013.65882349,37356490.14117654,36949383.13725495,34286088.03137243,35058320.976470485,38284728.7450981,51581072.7529411,60148701.16078419,63813324.93725483,62263871.03529404,50861542.75686258,35710428.82352939,34163555.49019598,35618482.73725484,32409119.611764643,29429987.83137255,41459646.47843131,49125118.85882344,57070075.549019575,62417392.69803919,64519115.98039207,64679144.74901954,52997813.29019595,39037771.98431359,31324481.01568623,27873416.513725396,26312893.329411726,46885534.58431363,52173857.72549003,56453209.46274496,61789540.83921556,64273511.34509794,63983043.37647059,64287334.74117637,53618965.19215667,40939627.19999996,43062554.16862746,37458714.03529417,36785848.22352944,39286580.70980393,38848001.54901963,52700825.45098025,63309679.090195976,64192278.698039085,64847468.99607831,63054518.57254899,49290495.74901948,47404413.66274497,44448732.13725483,40556212.05490197,38816276.0117647,46311754.66666665,45900164.64705879,50338674.61176468,57999928.42352932,63844049.06666658,64952169.33725479,64784366.250980295,53854809.04705869,42709726.827450864,38724020.53333331,31353282.415686306,31232550.015686154,30905864.003921464,33125988.52156857,58138210.70980384,64915465.5098038,64963671.33725479,64963671.33725479,64712974.811764605,56031949.41960791,45576834.211764656,35564643.52941169,28976727.85098036,30617419.46274511,31391382.870588124,39074730.91764711,38378891.22352936,55224153.36470574,60567089.98039199,63757881.49803912,55891822.152941,45358537.2117646,41560851.62352928,37776603.23137259,36076768.50980387,35713800.7607843,35384820.19999996,42609137.172548994,62193552.603921495,64606310.49019598,64959054.33725479,64963671.33725479,64328277.47843129,55335949.93725477,45927476.725490026,42092822.713725336,37561807.50980376,30332114.52156857,30136776.57254895,46510411.91764693,60039618.55294101,64731342.00392145,64943253.988235176,64963671.33725479,64906804.16078422,58850761.172548905,40980312.86274506,31875564.95294115,31275513.22745088,29385119.58039205,35083901.90196072,53524812.290195934,61810764.36862733,64761776.27843125,64963671.33725479,64962966.03137244,62384172.90980375,52001461.49411752,42407820.101960585,40287687.341176376,36418491.37254896,34534636.258823395,36435074.01176469,35416977.13725488,43472269.76862731,52681394.952940926,53450856.85490175,63285449.1411764,63479745.53725486,57172756.45490187,43929542.49019592,38972203.160784185,12303
34190557.02352944,37625218.49803919,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,38997779.88627455,41001595.26666675,40944481.95294127,41045358.98823536,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,35022410.40392155,33820302.65882358,32441097.77254903,37528069.92941178,37015187.60784312,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40824080.258823626,39993847.533333406,35745042.725490205,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40974722.27450988,40449843.937255,36451042.53333335,34255633.65098038,34272848.29019608,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40439111.0666667,39816358.75686276,41091131.56078439,39262427.94509804,29147112.62745097,38579976.31764707,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,33633275.490196146,41091131.56078439,41091131.56078439,28295944.176470555,38608677.08235295,37065824.03921568,41014355.12156869,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41011993.709804,40254565.15294126,35614005.51372551,36005123.04705885,33355084.04705886,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40847439.14901972,27203416.01568628,21071720.66666667,17320310.792156804,23695303.28235294,25125181.27843135,41071321.84313733,41071321.84313733,41071321.84313733,41071321.84313733,41071321.84313733,40936610.24313732,40167396.93333339,40307657.85882362,17218164.847058833,36758288.25490193,41091131.56078439,40928259.937255,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40039958.97254903,41091131.56078439,41091131.56078439,39100068.29803924,41070063.254902005,41091131.56078439,37056760.75294119,40245868.627451085,41052646.34901968,41091131.56078439,41091131.56078439,41091131.56078439,40514211.85490206,40408518.29803927,40476408.00392168,38528901.23137255,38428713.98039219,40882994.65098047,41091131.56078439,41091131.56078439,41091126.64313733,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40867601.47058832,17083845.937254917,39060394.12549023,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,39246625.32549024,40918504.25490208,41091131.56078439,41091131.56078439,30523485.69019609,37120369.63921567,38016707.09803921,36966946.15686273,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,27851011.121568564,38497007.37647059,21500191.309803914,35292563.15294118,26232104.352941204,29199002.356862705,40997843.2235295,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,38713499.66666669,27539284.125490163,25242405.16470589,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,38525379.5294118,22593910.431372568,32506984.898039244,21553038.30980395,16732586.937254831,40153598.76470593,40355310.56862753,40778916.50196085,37422663.368627466,41068298.30980399,41091131.56078439,41091131.56078439,40874481.50980401,40732087.36862753,40884093.537255,41056422.4588236,41087709.15686281,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,39004893.8156863,40365280.57647064,34026863.24313728,30771017.60784312,41042829.23137263,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,31064087.454901986,38256166.46274512,38299772.50588237,40268411.2313726,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40991265.937255,41091131.56078439,41076299.57647066,40200205.803921655,40665607.796078525,40867837.37647066,41066010.96862752,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,41091131.56078439,40823562.24313734,39578012.49803928,11303
38405534.309803896,37898938.76470581,48332691.317647055,49760587.047058806,51874882.8392157,54170468.79607847,54855792.51372553,55092027.29411769,55092992.69019612,53923925.75686276,50675432.2274509,51696775.98039216,50857775.78431372,50669321.43137256,49808373.72156862,49568339.81960783,52654282.94901965,54516542.9176471,54692495.054902,55084604.13725494,55092992.69019612,48347125.61960784,41588955.854901865,38242537.88235293,27076038.52156865,30688965.54901951,37738567.25882349,45572796.894117616,47541294.27058824,49659177.20392153,53872562.67843138,54896327.54117651,55092992.69019612,55092992.69019612,53160997.56862746,48178548.10196071,47312543.921568565,44376324.67058808,47306806.70980391,47221745.01568629,52951738.56078436,54750516.21960788,55092992.69019612,54905718.35294118,54413495.74509806,53984464.72549021,48625117.69019596,50750318.14509803,45849052.02352939,45499525.42352937,43858412.38039209,48338255.53725487,48308671.878431335,54520606.93725494,55015091.37254907,55092992.69019612,54850544.72941182,49831907.63529404,46931398.99999998,41598658.43137244,37453191.41176472,29815790.42745096,45778662.15686267,53324503.2666667,54952280.0431373,55022581.85098043,55092992.69019612,55092992.69019612,54060822.83529417,53166020.36470588,50510994.13333325,42042240.5411763,46467367.98039215,45126483.63921563,43638827.41960773,52363150.49019611,52622293.94117648,54702991.12156866,55065002.9058824,55092992.69019612,55092992.69019612,53725894.41568632,44367693.75686258,44260345.5372548,41661020.71764695,41624753.87058807,44031743.34901953,52146433.02352943,53812718.2313726,55077820.117647104,55091681.03529416,55092992.69019612,55082890.66666671,53244226.94509806,46500956.172549,46992988.90980392,33672761.28235308,41718282.76078413,41082469.760784216,48722767.48627448,50673188.32549019,52341230.60000002,55023475.329411805,55092992.69019612,55077054.13725492,51218788.81960778,48747834.06666659,39494888.87058819,34769502.10588232,39064290.560784295,38216684.14117644,51558893.05490193,54139678.54509808,55055676.57254906,55092992.69019612,55092992.69019612,54277167.35294119,47566183.45490194,45787187.6823529,29022969.49411761,39864540.199999936,39415949.78039207,37256325.517647006,37525049.74509795,38483628.81568623,45084787.70196071,49688224.58039213,53913474.36862745,54321522.1254902,51515209.09019604,40546352.647058725,33018063.11372552,38301317.41176468,38979938.62745091,36890292.09803918,48874708.47843136,50723008.79215683,54466036.450980425,55080301.6431373,55092992.69019612,55092863.52941181,51747323.30196076,42745100.988235176,32725515.262745038,31381681.239215534,29195578.09803919,49257771.67450977,49241095.49803919,51333265.95686272,53262119.97254904,54571958.98431376,54202949.88627453,54696624.42352945,46321042.776470445,39530513.63921566,42175828.96078424,37438233.06274507,37294952.77647056,44891150.462745056,45581119.82745095,49732622.05490195,54546263.1176471,54863550.027451016,55075361.83137259,54418033.67058822,46413877.79607822,43282896.4980391,45667978.70980386,40944459.98039208,41583788.799999855,42225180.42745087,41993985.64313714,43097526.68235284,50008922.12941173,53612976.72156864,55092992.69019612,55067595.82745102,49107768.31372547,42569444.82745091,42185231.40784304,35872611.556862675,35064937.12156861,35181025.85490187,38344147.16470584,50203070.73333333,55092992.69019612,55092992.69019612,55092992.69019612,53906394.572549,50133104.03921559,42127720.61568622,32007871.7137254,26754730.09411764,35555220.56862739,38449501.741176434,39613033.43137249,38866088.80392152,47379954.3686274,50797512.30980391,53550777.48235296,50697724.98039204,45492983.19999991,43614612.36470576,42293121.89019591,41439868.415686175,41228843.55686263,40322762.36470579,42804195.50980384,50089417.92941175,52629307.3490196,54836586.23137259,55092992.69019612,55012063.03921573,54154507.81960787,49644896.34117641,47609636.99999998,44542253.30980381,38224922.44313722,39631092.00784312,50505946.199999966,54814992.63921574,55092992.69019612,55092992.69019612,55092992.69019612,55092992.69019612,52373801.0823529,39902416.76078433,34219908.49803922,35317403.352941126,36094148.25882349,39051001.984313644,51966744.3098039,54257593.501960814,55026228.57647063,55092992.69019612,55071279.02745102,54359182.17647063,49596312.81176467,47915425.81960776,47070979.02352935,42797032.5372548,41797669.49019593,42174830.47843125,41658660.35294106,44846458.72549014,50091666.58431371,50476173.01568625,54256683.29803924,54856265.462745145,53450067.43529415,47889738.78431369,44313899.30980378,12103
11637065.392156843,11019416.458823506,28131243.48235291,37822511.52941176,38142451.878431365,39141100.58431369,39465258.08627448,39681156.17254901,40159660.59215685,38201421.070588216,25421676.74901965,21172387.88235292,17159477.51764708,15617108.556862736,22372956.874509808,23837513.98039213,30231990.84313724,34691349.30980395,35082529.14117651,38044161.38039219,39474375.67843138,29087603.505882367,19241982.65882354,14136470.796078434,11805541.349019594,9700341.815686278,39126676.10980391,39823679.70196078,40217709.9607843,40217709.9607843,40218843.9607843,40218843.9607843,40218843.9607843,40177378.94509803,39301921.031372525,25467863.960784305,17207610.992156878,14202985.709803924,26574219.34509805,31335622.86274512,36962749.33333332,38928003.32549021,39444562.02745094,40127539.67843136,39961725.77254903,39200412.45490194,29504815.290196106,21384331.635294106,15909292.40392158,16094359.407843124,13425779.819607835,27336261.69411766,28729941.79215685,35465171.99607843,36483610.53725491,38287050.41176474,35174270.10588235,27131619.15686275,36202609.46274508,20366214.996078394,13815225.478431366,15616848.450980363,25635793.015686277,38647589.32156864,39432072.184313685,39946783.0509804,40107716.729411766,40151701.65882352,37219511.98431372,37097767.77647059,35050441.145098045,20032752.34901959,16188995.596078418,13854519.376470586,17216686.207843155,38997489.45098038,39414125.42745096,39969114.42745096,40156423.42745097,40196091.764705874,40218779.254901946,39222617.894117646,29396415.776470564,20104034.75294117,16043755.964705886,14028698.960784309,11351240.156862766,28899174.972549044,30164013.635294136,31756762.91764705,32764610.55294119,34411234.83137258,36360007.20784314,30065398.23529412,19136357.635294124,13935782.32156861,10284066.478431368,9128398.086274505,8096023.6705882335,36256541.83921568,39728404.42745096,40041393.235294126,40117735.494117655,40117735.494117655,39640251.400000006,32670813.54509805,24128669.09411764,14238505.407843163,13751569.572549028,26636249.44705882,21091258.039215736,32480784.6901961,33527775.517647084,34424882.5411765,34468758.30196081,36857180.65882354,34296960.26666667,33783125.0588235,31704219.68235293,20476907.117647067,19301300.603921525,21194175.96470588,16172342.490196085,15401372.431372548,19166196.36862745,32183190.305882387,33989608.4941177,36034389.87843137,37820408.62745103,32149784.019607868,25371177.40784314,16320732.00784314,13782971.25882352,16386308.800000004,20463368.588235304,34380625.61960787,33543148.18823532,35835169.47450984,38181889.266666666,38970791.24705882,39201092.92549019,37210414.00784315,27075654.16078433,15089998.301960776,14202100.878431365,21842429.75294121,27830145.349019643,27067020.82352941,36002254.913725466,37677504.490196064,38180056.72549023,39174285.827451,36288331.77254903,31408092.8117647,27974268.443137277,27439296.686274502,15224421.2509804,13055247.803921554,13469825.525490187,11827133.12549018,35265571.41960784,38162462.48235295,38973975.66274512,39684192.10588236,40068350.50588232,31359720.47843137,23546996.05882357,15943846.082352947,13384663.13333333,11391749.266666656,11167676.33725487,17413541.427451003,30069599.65490197,35894154.129411764,36727355.7764706,39247302.44313727,39743346.34901955,36172102.48627448,30290937.627451,20705147.2,14682658.972549023,11703882.792156847,32130644.65882349,32941627.64313728,38951505.89411762,40049544.31372548,40174088.34117646,40215607.30196077,36434622.72941177,29428910.88235297,21310570.337254908,14637073.952941185,10450083.352941152,13595036.35686275,12861594.749019586,14825170.23529412,14643222.537254896,20147755.33333333,24379948.921568643,33358393.082352947,32640485.317647062,26983146.0627451,23141711.51372547,20948016.09411761,18539949.32156864,20570717.98431374,21743988.73333335,29325769.76078429,37004682.25882351,38288006.25882354,40155973.19999998,40210894.231372535,39798864.03529411,37642613.1254902,24408859.760784317,19372506.949019592,14688439.349019596,12265304.819607818,16413945.286274493,31673431.24705882,34239253.99215688,36383890.69019609,36883682.4627451,38603379.49803921,39675450.894117616,36840738.59607841,32261201.392156865,17538733.61568627,14431274.870588234,12999944.61568627,12752873.188235274,31134961.03137256,36753769.411764726,38213533.976470575,39407539.05490194,39706391.86274509,39184653.46666668,32931432.549019605,34524770.51764711,27327944.498039182,17839792.29019606,15986969.647058835,15370006.1019608,17461002.90196079,28273780.83529414,33644431.4,33747609.53725488,36242749.25490192,39679322.92941176,36958893.42352941,25976071.41568628,17235480.976470605,11302
