200001_vs,200002_vs,200003_vs,200004_vs,200005_vs,200006_vs,200007_vs,200008_vs,200009_vs,200010_vs,200011_vs,200012_vs,200101_vs,200102_vs,200103_vs,200104_vs,200105_vs,200106_vs,200107_vs,200108_vs,200109_vs,200110_vs,200111_vs,200112_vs,200201_vs,200202_vs,200203_vs,200204_vs,200205_vs,200206_vs,200207_vs,200208_vs,200209_vs,200210_vs,200211_vs,200212_vs,200301_vs,200302_vs,200303_vs,200304_vs,200305_vs,200306_vs,200307_vs,200308_vs,200309_vs,200310_vs,200311_vs,200312_vs,200401_vs,200402_vs,200403_vs,200404_vs,200405_vs,200406_vs,200407_vs,200408_vs,200409_vs,200410_vs,200411_vs,200412_vs,200501_vs,200502_vs,200503_vs,200504_vs,200505_vs,200506_vs,200507_vs,200508_vs,200509_vs,200510_vs,200511_vs,200512_vs,200601_vs,200602_vs,200603_vs,200604_vs,200605_vs,200606_vs,200607_vs,200608_vs,200609_vs,200610_vs,200611_vs,200612_vs,200701_vs,200702_vs,200703_vs,200704_vs,200705_vs,200706_vs,200707_vs,200708_vs,200709_vs,200710_vs,200711_vs,200712_vs,200801_vs,200802_vs,200803_vs,200804_vs,200805_vs,200806_vs,200807_vs,200808_vs,200809_vs,200810_vs,200811_vs,200812_vs,200901_vs,200902_vs,200903_vs,200904_vs,200905_vs,200906_vs,200907_vs,200908_vs,200909_vs,200910_vs,200911_vs,200912_vs,201001_vs,201002_vs,201003_vs,201004_vs,201005_vs,201006_vs,201007_vs,201008_vs,201009_vs,201010_vs,201011_vs,201012_vs,201101_vs,201102_vs,201103_vs,201104_vs,201105_vs,201106_vs,201107_vs,201108_vs,201109_vs,201110_vs,201111_vs,201112_vs,201201_vs,201202_vs,201203_vs,201204_vs,201205_vs,201206_vs,201207_vs,201208_vs,201209_vs,201210_vs,201211_vs,201212_vs,201301_vs,201302_vs,201303_vs,201304_vs,201305_vs,201306_vs,201307_vs,201308_vs,201309_vs,201310_vs,201311_vs,201312_vs,201401_vs,201402_vs,201403_vs,201404_vs,201405_vs,201406_vs,201407_vs,201408_vs,201409_vs,201410_vs,201411_vs,201412_vs,201501_vs,201502_vs,201503_vs,201504_vs,201505_vs,201506_vs,201507_vs,201508_vs,201509_vs,201510_vs,201511_vs,201512_vs,201601_vs,201602_vs,201603_vs,201604_vs,201605_vs,201606_vs,201607_vs,201608_vs,201609_vs,201610_vs,201611_vs,201612_vs,201701_vs,201702_vs,201703_vs,201704_vs,201705_vs,201706_vs,201707_vs,201708_vs,201709_vs,201710_vs,201711_vs,201712_vs,201801_vs,201802_vs,201803_vs,201804_vs,201805_vs,201806_vs,201807_vs,201808_vs,201809_vs,201810_vs,201811_vs,201812_vs,201901_vs,201902_vs,201903_vs,201904_vs,201905_vs,201906_vs,201907_vs,201908_vs,201909_vs,201910_vs,201911_vs,201912_vs,202001_vs,202002_vs,202003_vs,202004_vs,202005_vs,202006_vs,202007_vs,202008_vs,202009_vs,202010_vs,202011_vs,202012_vs,COMUNA
21806086.19607841,13986400.819607858,12494576.058823524,14173214.054901982,9933020.070588248,9869161.831372531,9272083.341176482,13026381.89411768,10885989.662745066,16762116.827450998,18080864.84313725,20492264.2549019,19057894.588235315,18261923.45098039,18953806.54117648,17238328.20784317,10662342.9098039,12804594.749019615,9536501.10588234,11260627.670588242,12754657.219607858,16250727.831372537,21281480.69019604,20045719.73333336,19402801.811764743,17369971.54509804,14886877.423529426,13011246.188235285,10492312.756862734,12821221.172549035,9451606.396078432,9569777.647058813,12112388.705882365,14125621.247058796,17149305.709803898,18111201.541176423,20566074.6862745,18889841.839215677,15618138.643137278,12526262.752941184,13971962.156862764,11295872.494117666,15832165.486274546,11292278.733333336,12643853.800000008,16306015.505882353,19000327.27450983,16521740.81568624,21299469.35686276,13606034.458823545,14789209.047058826,12831809.17254902,12014672.984313726,12293643.254901985,11608091.223529404,11578692.129411776,16713562.843137275,15079083.62745097,14883587.00784316,16187918.803921562,21066217.9764706,17042972.53725491,16607360.560784332,16517036.50980391,10410426.701960782,9748607.698039228,10157342.176470593,10178049.85882352,11807274.309803918,14951430.73725492,14385842.992156845,18661993.247058813,16482895.529411787,15879955.533333348,19243636.56862746,14949749.137254909,13462417.51372549,9586585.905882346,11087922.192156846,11569265.24313724,14408618.756862735,17225550.627450954,20649196.14117648,18511056.972549006,17450707.564705867,20013802.937254924,18786277.243137248,16332586.721568614,13144893.376470575,13738698.34509802,11386174.721568622,14648971.68627453,11793254.615686305,18437052.901960768,19890778.874509785,19620523.06274509,18586274.65490197,16604007.333333297,15902565.709803917,17926249.443137273,12929152.75686277,10976802.0392157,12185506.72941177,11426098.31764706,9823341.505882338,19358908.93333337,19860752.866666693,20594046.035294056,20801850.035294123,18147351.12941173,18400847.41176469,15680553.003921572,15059364.847058857,16130188.3254902,13149966.4117647,10933088.760784322,16373822.125490202,21675783.415686253,18555837.84313726,18214131.45098038,21583080.27058824,18822895.819607858,17188303.333333332,15383186.317647042,14967744.023529388,13319369.286274511,10952811.603921589,12720682.094117658,14738125.309803916,17610212.16078434,18713237.71372552,23284537.32941179,17577390.486274548,15133415.835294094,17566003.38039216,16942502.917647053,14804576.305882351,13130615.882352931,11603738.976470595,8882154.368627446,12952864.09019607,17714780.843137234,17673907.71372547,17999159.172549002,18822218.290196083,17010683.949019603,18496560.635294124,16447984.533333326,13624830.772549022,17457707.243137274,16034609.482352966,12275445.705882369,14754617.533333344,20173701.392156854,20176085.301960785,15380398.882352928,19771391.007843163,16940154.03529413,13512582.200000009,13172285.788235305,15116589.427450951,16280552.482352972,16741111.113725487,12800435.47450981,11724153.909803929,19480898.49411766,22126384.898039147,21144840.16862745,21388330.36862745,16411933.20392156,20487594.06666668,11210309.929411748,13137930.552941162,11673792.666666664,11631461.196078418,10012918.603921557,13159056.470588217,17316406.00392156,21926887.9686275,21171888.25490196,16874018.956862733,19152566.63921567,18405565.470588222,13740259.54117644,12519186.486274503,15911827.258823542,12991821.709803944,13512259.082352951,17645131.039215684,14384202.650980376,19880185.474509776,16202384.215686264,18832682.866666645,17883828.933333304,17665149.262745094,12951472.215686295,7767675.309803916,12883291.40784312,10272249.772549028,9816212.384313758,11740034.772549002,14940763.384313729,21889859.79215683,17094452.972549032,20532515.141176477,13929476.639215676,12932437.482352955,11457111.556862766,11376486.05490195,12355527.427450988,14132867.003921572,13491090.47450981,17281659.227451015,17630916.89019605,18714573.839215696,21573687.52549019,19886744.19607846,16755558.274509804,16575252.31372547,13557311.294117654,11215399.921568602,11873926.15686274,10495626.235294104,12440338.82352941,11035498.392156854,14465792.627450984,19194560.980392173,20052739.450980328,21309544.70588238,19433004.509803925,15510802.627450984,15612705.607843127,13397028.117647065,10693642.196078423,9567518.705882356,13157318.2745098,16483142.627450958,17501609.019607857,16155583.686274502,19308742.54901961,19337817.56862743,17388637.372549046,15224918.509803936,13319806.50980393,9490282.862745097,10671592.901960792,10114067.529411754,14688118.15686273,15827634.352941148,18179452.58823527,18826305.60784314,19865723.99999998,12102
5534530.015686273,5352836.286274507,5451719.372549018,5119561.294117653,5424006.764705876,5959161.709803919,5964286.254901959,5664512.8235294055,5947213.713725492,5516557.764705874,5974108.384313731,5978710.450980394,5545756.9254902005,5027087.564705886,5246915.698039224,5295655.133333331,5551271.764705888,5609267.662745096,5506009.15686275,5429641.490196083,5907862.105882357,5682138.325490192,5885241.874509803,5965803.090196076,5970625.498039222,5471837.160784319,5315568.23137255,5299948.588235289,5495583.999999999,5699655.188235299,5957778.427450974,5542837.1725490205,5743573.200000014,5440150.815686275,5871005.882352945,6155392.403921566,5808424.709803922,5523396.631372554,5392908.556862751,5158168.24313725,5158090.733333327,5446246.9843137255,5408467.607843145,5492016.913725487,5786203.098039219,5479139.01568628,6192056.607843139,6265649.580392152,5593453.647058826,5454769.078431374,5677111.294117654,5329132.470588235,5664685.5058823535,5561382.403921569,5263149.882352946,5462300.498039214,5590216.643137253,5787958.262745103,6564763.823529419,6400586.58039216,5868858.596078431,5505555.513725486,5649458.956862751,5525033.168627452,5481283.294117652,5469003.756862748,5923283.741176467,5564829.59607843,6425099.619607848,5861822.490196091,6132816.95686274,5955601.929411764,5679740.01960784,5460932.839215683,5323669.15686275,4981365.627450982,5121787.192156862,5511923.4627450975,5554613.070588244,5566149.396078425,5784001.184313723,5688565.360784308,6019563.788235294,6335750.243137258,6066415.129411764,5797574.18823529,5485018.956862745,5240368.058823532,5768501.541176466,5673022.2313725455,5724488.184313716,5818316.56078431,5988760.478431375,5678637.552941178,6285505.2,6346301.600000003,5783151.549019609,5724046.23137255,5513678.909803921,5386730.015686277,5449414.85490196,5809283.6941176485,5491390.435294116,5667524.690196074,6013578.24705883,5782044.501960786,6312175.454901962,6203932.113725481,6090927.517647052,5591811.082352937,5634567.5607843045,5095206.505882356,5508449.200000003,5668947.125490202,6088909.498039215,5649816.05882353,6390521.862745089,5933775.372549021,5998844.819607847,6252784.509803923,6032477.811764706,5603025.592156859,5679661.274509805,5427476.188235298,6025026.96862745,5925508.082352934,6508556.815686278,5726373.776470583,6336565.007843129,6120947.972549025,6452816.2509803865,6292162.482352938,5975991.223529418,5261297.98823529,5541741.941176474,5255242.0235294085,5169786.031372549,6018024.941176476,6126480.925490203,5808615.5882353,5620081.599999993,6059186.380392153,6111483.619607845,6081122.615686281,5786814.360784314,5264476.721568624,5491408.964705882,5541507.341176472,5366030.647058823,5606155.3686274495,5687005.564705884,5575592.525490195,5808939.619607836,5899794.388235293,6281154.454901962,5977263.592156867,5882541.949019603,5381048.125490192,5782021.690196076,5235211.329411767,5280594.000000002,5951023.466666666,5550740.156862743,5553310.600000002,6380559.913725493,5913270.713725487,6131900.411764705,5967865.576470586,5825043.305882353,5721310.184313727,6039278.031372539,5303807.125490192,5897068.733333335,5991315.945098037,5907233.941176472,5372770.73333333,6033467.45490196,5565320.84313726,6076336.050980384,6097501.843137259,5756385.952941175,5367522.466666668,5412323.729411763,5149273.745098035,5297129.121568638,5444384.156862749,5704121.380392151,5901578.70196079,6089764.266666653,6043963.82352941,6383127.890196081,6305503.121568619,6010576.192156862,5313568.286274507,5767137.32941177,5443443.909803922,5594770.458823531,6216720.043137253,5750513.415686276,5374780.466666666,5642415.980392163,5870365.188235294,6082619.462745107,6211169.654901958,5594765.450980392,5423130.5019607805,5389011.576470587,5408004.039215687,5984763.59607843,5880816.713725492,5285121.470588228,5663662.705882346,5984970.392156865,5943112.117647062,5955575.807843146,6009389.525490199,5533778.117647062,5108230.509803924,5241496.62745098,4540005.647058824,4400291.215686274,4699175.843137255,4161450.7450980376,4281643.1372549,4886532.549019605,4525911.019607842,5114750.901960783,5456771.176470588,5010296.745098032,5253357.725490199,6144211.176470589,5379952.156862739,5840443.176470587,5430341.607843142,5766940.078431375,5105926.196078428,5886987.803921566,5376086.54901961,5315598.980392159,6243423.450980395,5752110.7843137225,5421056.901960785,5297542.274509801,5158649.64705882,5358300.901960785,5924197.490196077,5692882.039215684,5959059.176470593,5745650.627450982,5472600.117647056,6153559.607843144,5996447.960784314,2202
73339029.80784307,51262595.01176456,46554154.27058846,55684860.87843123,44553316.87058837,43946473.854902014,40965881.85882363,51548851.47058794,46412138.45882352,62119649.69019624,57869054.0509804,62797788.07450976,61461140.93725476,60195835.85882353,68796669.34117642,64285938.14117665,45575610.42352941,51448164.129411705,42738251.86274505,53310730.050980434,50970001.65098024,66205856.94509789,73933584.34901944,74121749.84313719,65051333.77254893,62845667.95294125,52901586.33333311,51528972.21176456,44223691.61960784,54447737.07058837,44678121.98039227,40878620.95686262,41506759.6431372,51662621.34901953,56716767.90196094,63829063.85098039,63863174.47450986,65076254.76862754,54989564.34509831,50724213.19607852,54695359.12549012,48167677.76470584,61070019.05490194,51159429.82352922,52057231.42745083,62140888.439215735,66173397.85098039,52091339.925490215,71413477.56862749,53055934.50196081,55214555.454901904,49520203.074509785,51824573.50588237,47857157.70196068,49686298.99215692,50873901.54901966,60903536.71372537,52317563.505882464,54988199.73725495,58078720.20392176,66616465.572548985,64612280.97254914,57526635.301960826,63405601.84313725,40341378.00784318,40600362.33333335,44467947.44705876,45078165.10588238,46818207.47058816,55160970.21960802,48424014.22352946,62712560.81176476,52237682.309803724,54964805.505882256,67013441.180392005,60572490.64705873,57308890.06274514,42682794.60392139,45989966.64313716,46449748.80000013,49171851.57254911,59133690.674509615,69604370.8352939,64446097.66666683,61420644.745098025,67093531.97254891,63540312.70980382,58757979.80392122,49498946.31764716,52139699.321568586,46805616.30196092,57947643.91372551,46526875.19607853,64779095.47450975,64002929.35294117,65556281.16862758,62517161.22352944,62790792.96078436,57811315.513725296,64479971.56470599,54002746.47843125,45180539.32941166,50364763.25490204,50470444.53725492,42997471.070588335,69986412.9372549,69135468.28235303,72208710.69019592,70085339.6627455,60285099.07058838,66173711.73333317,61546555.172548905,56243348.47058814,60405777.3843138,50479826.43529411,42729198.60784305,58606003.34117618,74244897.52549002,60869258.77254895,63844025.97647077,67254116.61176465,60963238.29803927,62485046.00000006,60212203.62352937,58857058.51372551,55362824.988235176,47242200.7803922,55395477.525490016,52728923.81960788,65723950.34901958,67124991.69019619,76830067.30980389,58643809.75294127,57309468.68627438,59216063.46274507,60612926.07058818,57312370.109803855,55492424.00784316,44206679.01960799,37151206.62745087,46888722.05490205,66701580.184313655,60575541.43529427,65583519.55686311,64348443.02745106,63611681.89019628,62942629.22352951,58505118.21176486,51569311.83137265,67936036.34117651,56164170.20392169,52707637.42745105,50896704.654901855,70466264.92549029,68171669.34117663,50540022.572549045,65829177.11372529,58865522.09019614,50696670.450980216,55102496.18039213,57604632.91372528,58503189.98431369,64871819.83137258,53462742.14901948,46274230.741176486,69583102.69411778,74622435.8901962,67866845.36078401,66859733.0392158,57088135.32549023,67336484.35686262,46274035.749019615,51087524.68627459,46676857.462745205,48336158.75686273,42607712.301960826,46267295.890196025,64179222.91372573,70887806.37647052,67156932.41176456,58828243.18039203,64979263.87843144,62589986.94509788,53455495.3529414,48913750.82745095,60132874.83137251,50308425.07843135,53830904.6705883,63625196.549019866,57545387.831372485,69960706.58823517,58716894.956862725,67047527.05490188,60607485.50196079,64671642.21568635,56042335.46666652,38285852.078431375,52085297.91372561,46465189.97647064,43500518.65098047,50241497.50196058,55697879.48627456,70459144.08627447,56600089.03921592,63382096.27843139,52839897.65490192,47462890.7058824,48486816.70588224,49372677.580392174,53362257.53333346,55850588.61960814,51982360.00392159,63196857.02745111,61707863.96470586,63248020.45882369,73285271.69803917,67838796.39215696,66725216.43137253,65008762.58823496,55012691.450980335,49204611.49019638,49490800.35294124,49593551.13725503,56860607.96078442,49198346.50980395,56939712.58823551,73797404.62745093,74955816.98039241,67721473.52941181,62865135.372548826,57454427.2156863,57396490.86274531,51305966.82352954,43768144.82352927,43214798.94117652,51113257.41176476,58113605.17647075,63188860.19607847,59902342.78431368,65815900.54901975,63258215.25490202,59205289.52941172,59113706.745098,54571980.470588416,44213443.8431372,45443449.6470587,43238978.901960745,52312716.98039196,55388382.58823536,64432443.72549029,66171067.01960783,65794404.39215699,12303
99557151.2823528,73436899.06274498,77579179.39999992,92166413.99607833,81660099.68235335,91146016.8078429,92090138.97647046,75958414.17647065,80005855.68235269,86053938.23921572,93194636.4745101,107253751.2313726,100536556.7607842,93088655.3215691,79323409.67843118,93124614.10980384,88175972.8313725,89435184.69803916,78515403.50196052,80106062.27843119,81329825.81568658,85099656.61176464,101037756.99607858,100829022.87058856,90136695.99215671,76409237.79607794,74609946.69019602,95107485.43529414,81808094.33725488,80344676.45490193,78086009.98823504,74435584.45882353,88677900.78823532,95700052.9725491,89106813.49019593,100037093.9882356,99242023.82745108,88674110.23921545,80381047.7294116,79834756.66274534,88676510.1529412,95169529.37647106,91480502.46274512,83769364.50980397,89656708.29803927,103329151.97647046,93186662.50196116,107148858.98431386,99113306.80392157,67482151.43529405,84103150.92156845,99743197.007843,80635798.02745122,105088020.49019556,85866505.54117635,72099204.59215707,96131787.67451008,93956145.66274516,87915775.06666705,110887821.36862768,100044878.86666691,71587851.5843138,82548383.63137242,99068863.72548984,95573467.27843176,93561889.3294117,82352418.61960778,75767695.26666647,93260776.52941167,88902567.454902,91816230.4274507,89455264.64705887,95669584.1882352,76562340.4509803,92823409.54117656,97670961.36470568,90300605.80000016,91711213.1647056,83163698.0705886,76055499.05882362,90380650.67843154,102745747.27450997,95582450.8666668,117088521.21176489,97346264.38823532,79671442.42745082,82081601.76862735,100385050.64705887,85221449.20784369,93672684.20000003,82517849.59607846,87195422.90196069,86982968.7019605,97707531.21568616,92744402.90588258,103215294.1568626,89518906.47058806,82913196.52941166,69008386.52156861,96793201.00000007,87673782.71764712,93839746.1764707,88423815.99215706,77143948.56862748,89235814.88235286,98271600.8509803,101656454.68235302,99541033.68627444,98321125.20392156,84998723.61176498,89554661.28627461,97653167.72548994,95247306.87450998,91978563.28627476,88139443.79999991,86872098.89019614,92323003.9647058,98060394.88627438,93861342.91372548,102376263.54901958,111370962.89019604,77755768.69411755,77027651.43921566,94740902.5647059,98006741.98039234,96492754.12156884,81599041.79999998,83038389.67843145,91760723.14509831,101432856.32156858,93662011.73333332,107884375.15686291,97162671.42745098,77837340.4313725,91547013.52549048,99091755.00784284,99549589.61960778,93373273.29019602,83250412.98039201,76603232.52549013,98192765.0901964,88818467.40392148,96996958.30980392,93098532.4862745,90823264.22352932,80899033.78039227,80802306.4549021,100524399.40784298,98457577.90588214,96246691.64313725,96459545.21960732,84608126.8901961,92375458.3215688,89899518.93725501,90506673.85882334,96791551.09803882,89449527.09019603,73016404.58823532,73301326.18431367,99294205.3098039,95609151.29411788,102152714.18823542,84518476.46666667,85642546.62745076,78212518.67450981,92156319.82745078,92793353.38823532,104719326.78431334,99768406.58039246,77763365.17254882,80115662.30588217,90607555.76470576,97298908.4039218,92575295.6705884,86894517.26666649,82910059.34117652,87257898.90980403,86180086.00784329,96202077.55294111,102407306.29411732,87956824.84705861,76641094.79607838,89500381.26274458,95253820.9647058,99495168.1686278,99052904.92156868,89885041.67058809,84119504.96862786,85091670.29019627,87869794.12549004,86736196.34509791,94532883.5686276,82988700.09019591,83614490.42352957,76421157.71372521,84113607.45098078,72251364.0941177,86607504.16078426,82822763.5215687,79061394.66274512,79435950.89411774,88195594.95294131,92030175.1450979,104175872.39999989,101466226.40392172,80690161.09019597,69261616.137255,87655801.83921516,90273006.27843107,88942356.25882326,96325968.43137269,91011370.7215684,97142553.36470573,97672342.34509815,89416493.50588228,104382034.22745056,105749538.86274505,86844220.58823508,90163431.56862774,105859755.37254928,92080176.98039225,94607343.68627489,86439284.23529355,91549725.84313697,87772605.45098007,84894128.11764693,99709657.3725485,108010674.43137276,101521274.4313722,81854629.6862743,74984293.88235286,95371256.74509814,95215907.45098054,93772664.47058836,95149547.76470576,78425328.78431378,86775188.23529397,90935107.41176452,98699004.27450982,108628427.4117646,95216154.31372537,79593530.98039202,76493047.60784353,90292770.39215668,91863641.4117646,95666648.90196069,80457162.66666657,85581993.96078435,94070760.27451035,96389862.7450983,91341210.47058862,100992542.35294142,11303
64770334.09019585,45164587.09019608,44485369.88235285,52294799.47450993,43239279.56078435,43274751.75686258,39254673.31764709,45566460.384313695,38363919.76470582,53362896.24313712,53614321.360784434,59597752.75686258,58820350.376470506,55183578.84313738,61584659.98431388,59408702.09411772,42316266.85098036,47710595.24705888,38334575.7294118,44835658.250980325,44566784.78431369,56209076.62745095,66310525.34117647,65533240.27058832,59941515.996078365,54100444.93333332,48806249.69019599,48487220.59607825,40951104.02352924,46030787.5254901,38890381.92549016,38389293.156862885,41667392.15294115,47132535.0784314,52451472.83529407,59225708.737254776,61865988.87058808,60264205.8784313,51413692.73725501,46599322.81568623,51606799.70588232,45524231.254902,56695429.82745104,45370546.73725472,46331894.59607843,53680667.5882352,57433185.61960777,52547297.72156861,66282861.22745094,45536969.65490191,52198497.933333546,47197214.666666925,48224019.05098014,49491333.54509805,45022292.34901955,43196461.670588166,53538737.63529415,50342403.066666566,48732962.54509794,54880903.184314005,62698157.8431374,53401804.27058824,55181537.431372695,57294549.46666655,41722388.17254899,42036172.99999998,41889919.03137253,41283135.46666685,43144329.65882347,49386130.78823535,45510660.9764706,56678633.30196093,50893140.66274524,50386158.94901949,63526724.94509811,55393377.074509785,51300458.49803916,40022828.27843126,43094280.35686278,42923915.90196089,46655296.133333296,56082461.74117646,62379130.37254907,59037138.52941179,53976614.14901968,58263234.50980384,59026408.36862748,56564027.40000007,48788168.2196078,49853507.14901965,43295900.59215678,53449013.0509804,42531441.670588285,58600026.90588229,58610463.01176451,61074469.23137255,56649421.603921816,53608622.74509805,54286993.49803922,58580310.8235295,50346375.33333325,46322167.7490195,47133347.25882338,42603891.64313713,41970973.098039165,62764009.19999998,61383999.2470589,61342406.78431371,63491093.61960775,55380277.380392335,60986319.584313616,55743001.39607841,54634881.3529412,56615489.21176476,46102604.24705889,41187062.03529408,55398875.48627465,66170545.231372654,54691780.36862752,56748485.39215682,64474877.74901962,54176668.69411787,56239995.75294125,56352266.52156855,57539726.46274522,52268046.86666685,43869402.17254898,48989821.59999995,50712153.41568649,59881692.06666651,59210707.6117646,69156126.26666677,54866258.54901961,50508910.494117714,59053061.913725644,57253581.30588237,55805905.44705879,50377406.54901967,43775076.90196085,35979726.011764735,44220612.04313727,59492797.21176476,57213975.78431386,59044726.239215486,57080182.05098048,52623864.31372559,59705862.243137226,57353964.68235283,50430346.11764704,59593493.73725483,55638269.10196079,47782881.31764691,48610304.32941172,61819975.27843144,60833011.61176472,47853591.31372543,58994268.152941205,51804005.94117639,47765123.549019545,50785186.90196073,55399406.41960785,57103163.64313729,57924626.18039196,46326181.32156867,40794860.513725504,62287276.19215681,64725022.87058821,62186757.27451,62225450.73333339,50657025.55686275,62642584.16862761,44388964.95294112,50295649.33725494,46309726.52156861,44812144.67450987,39915960.6901962,42474729.10588232,54853611.552941136,63411340.95294122,61953745.16470605,52425935.9921568,58028756.27843129,58690649.59999997,49574584.88235293,46273240.486274496,56334932.01176486,47100449.55294107,48971516.23921567,53036447.050980434,48097898.51764691,59639597.55686283,51829551.35686276,55218509.91372552,54135875.7411765,58651332.55294104,47714551.2431372,35803461.11372539,51401029.38431377,39697162.24313719,38213058.36078434,44997201.05490205,49648295.55686267,63661154.78823537,53293798.70980404,60812496.78431357,47309839.69411774,44846517.83137248,42990875.98039221,44911170.78039213,47599025.20392148,52203367.1490196,47419207.27058824,56681683.5803922,55918248.81568643,55827806.66666677,64837404.89411748,60851592.50980389,56123532.35294127,57833057.17647068,51137140.0392156,44884347.88235305,45489745.803921625,43720941.921568766,46924368.19607831,42519432.07843135,48554786.98039199,59649624.15686275,63205586.90196088,62459685.529411815,55064967.84313738,53381530.0392158,53325498.90196075,51113581.56862745,44713879.7647058,42533924.07843144,45397293.17647065,51759457.33333328,56558396.66666661,51561571.80392149,61124845.725490175,59016495.88235285,51665012.54901944,53011148.11764707,50324796.54901963,42306824.9019608,44394412.23529419,40854139.84313727,49406563.33333334,51324176.70588229,57987631.88235282,58464355.607843205,60263704.5882353,12103
44229017.25882351,32856688.17254905,33178440.078431368,33569117.560784295,29134013.752941143,29828879.180392142,29338771.482352994,28808503.509803984,30854874.67843137,36960926.96078429,40032825.4431373,46382877.83529403,44046561.33725485,40896172.45098046,35744807.45490193,34581103.94901956,30540363.51372547,30483728.439215694,25952529.799999963,30193170.1411765,32113112.941176444,36881840.67450988,44208816.3490196,43442873.20392151,41053992.36862756,34817702.16470591,32392594.07058819,34207046.94901965,29366146.55686278,28534351.9764706,26012672.42745092,26470413.999999996,33438148.133333303,38216728.35686285,38866131.819607936,42547185.16078425,44306468.6823529,39245150.61960784,35237021.54117638,29680945.59215689,30821723.823529407,31259449.68235292,32077645.25490196,30786163.011764698,33913302.16470582,40855355.741176575,41226870.486274496,44492116.776470624,44728108.39607843,30685890.32941176,36230528.32156856,35575719.8745098,29118419.725490205,34052325.79607844,28695513.992156893,27045288.17254899,37126576.96470596,38816016.4509804,38163964.88627453,45299669.41176471,44638803.05098036,33934791.003921546,36192227.35294112,36878367.29019622,32221632.19215684,30919298.674509782,27696163.313725505,28018988.52941176,34511467.48627444,36999372.96470597,39015587.560784265,38304465.83921566,42058405.45098039,35016340.9607843,39790521.768627465,35365834.55686271,31717096.67450977,29523086.054901976,27295826.027450945,28467725.71372552,34507001.70980384,41152666.28627452,41914009.188235305,47621189.39607839,42162008.65098035,36726426.737254806,36711794.54509802,37213169.729411855,30938427.882352952,32828949.05882353,28226126.729411777,32438060.77254897,32920888.70588237,40154820.654902,40324290.74117648,44119845.05882352,40553364.91764708,37288328.72156869,32312731.21176467,35734460.46274506,31058508.458823487,31169019.6,29290463.86666665,28173028.007843155,33088804.941176392,41376749.62352938,43535425.1843137,42248811.85098035,43924760.63529415,38785044.58039218,37928943.32941181,35968281.57647053,34489309.6313725,31750822.45490198,29367017.47450982,30899643.788235284,35789981.588235274,40928406.28627454,41318904.38823536,41726893.63529415,48510755.08627443,35623508.22745088,34120643.89803918,34997591.76470579,34683421.73333322,32121746.23921569,27775467.658823583,30520060.18823532,35647319.592156805,40897428.2941177,40142274.71764703,46532597.8470588,42813929.5843137,34865302.64313718,38613379.674509846,37249560.20000004,35010597.18431372,30948692.2313726,28032400.63137257,26968296.980392125,36224388.10196075,37536098.56078433,41662614.97647063,40269374.03921568,40949663.14117644,36532621.02745093,35622860.46666667,36905717.28235295,33791462.59999992,32844226.19999995,32834242.725490145,31145000.105882395,35708955.66274503,38921529.90196086,40225898.32941179,39805648.20784312,39588305.662745126,34380206.47058821,31703834.843137216,35404421.99999997,33072639.03921568,35309756.75686267,29570985.611764725,30809033.599999987,29367643.011764716,39206784.41960791,41580659.31764712,45483967.0549019,44576288.13725492,35800413.87450978,36054201.05882354,31852862.84313725,33628154.58431375,31821155.501960725,28535265.133333355,29762843.7254902,33671048.913725466,37057207.00392161,43012295.505882286,43629510.32549023,39029154.88235298,35059393.2274509,37508950.98431381,33289339.549019635,33463752.145098086,34156150.32156858,30453492.866666667,30646026.019607835,33766888.72549012,35290517.32549025,38138034.0431373,40109661.603921644,36677000.24313732,36568383.21176466,33926321.2431372,29970321.92156863,25216265.886274483,30358637.17647058,27050454.87450981,28069309.78823525,30791944.34117644,36367338.98039212,40669245.67450981,43201219.3019608,44921876.0509804,35314198.67058824,30841195.85490197,31109230.02352941,31308387.32941174,30125519.113725543,32698750.75686267,32365804.94901961,37102071.34509813,39657004.188235305,38675483.52941185,44722540.12941173,46215290.117646985,38383649.098039225,37698407.0980393,36317400.117646925,31747554.54901962,30677756.431372546,28854237.37254905,32805026.74509804,32458370.117647048,36593774.117647074,43341748.15686273,45623526.50980383,44801610.90196077,37363876.98039208,34281488.35294117,36174183.01960783,33038477.13725494,31824763.372548964,30814319.372549016,30538961.68627453,34833997.49019598,39011568.54901969,41053004.35294128,44418877.098039255,43223188.82352939,35964815.41176467,33948453.96078429,33141394.392156888,30675321.52941175,30468689.372549035,27782318.19607836,31328386.98039216,35564365.176470496,39010021.52941188,40280134.627451055,43306247.99999996,11302
